KIDDERMINSTER HONEYBROOK HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,SO817783,Long,-2.270404,Lat,52.402401,Elevation,187,ft,,,,,,,,,,,,
Station no,RR7871,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,3.64,1.24,0.74,1.06,2.14,0.59,3.3,3.36,0.93,,,,,
February,,,,,,,1.99,0.63,1.28,0.54,2.98,1.36,1.22,0.92,1.72,,,,,
March,,,,,,,0.82,0.96,3.13,2.62,0.66,1.96,4,4.74,2.46,,,,,
April,,,,,,,1.11,1.71,2.76,2.11,1.38,0.89,0.06,3.68,0.93,,,,,
May,,,,,,,2.41,3.33,2.17,1.22,1.3,0.56,3.27,2.33,1.23,,,,,
June,,,,,,,3.14,2.88,3.14,-999,2.69,2.45,5.04,1.52,2.44,,,,,
July,,,,,,,0.8,2.18,1.82,-999,2.36,0.18,2.7,1.39,4.7,,,,,
August,,,,,,,0.91,2.73,2.33,1.9,4.87,1.06,6.59,1.73,1.92,,,,,
September,,,,,,,0.97,0.8,2.52,2.48,0.68,1.57,0.82,2.18,1.06,,,,,
October,,,,,,,4.76,5.96,1.79,3.15,2.46,1.74,2.88,3.87,1.6,,,,,
November,,,,,,,2.44,2.4,1.9,0.68,3.92,2.47,2.17,2.31,2.92,,,,,
December,,,,,,,1.55,2.78,1.73,3.88,4.57,6.1,2.93,1.32,6.44,,,,,
Total,,,,,,,24.54,27.6,25.31,27.59,30.01,20.93,34.98,29.35,28.35,,,,,
,,,,,,,,,,,,,,,,,,,,
1909 June/July bracketed,,,,,,,,,,,,,,,,,,,,
"elevation on record 80', this is far too low for NGR which is at the house and in accord with distance/direction church and station.",,,,,,,,,,,,,,,,,,,,
