"BIRMINGHAM (HANDSWORTH PARK) (+A)",,,,,,,,,,,,
Grid ref,SP048900,Long,-1.930709,Lat,52.507874,,,,,,,
Station no,2483/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.39,2.72,0.97,1.19,2.67,3.85,1.30,3.04,3.14,5.80,,
February,3.03,0.58,1.22,2.20,2.10,0.59,2.56,4.77,0.22,2.49,,
March,4.87,2.26,1.55,2.72,3.31,1.22,2.26,1.48,1.67,1.58,,
April,2.43,2.64,2.80,0.56,1.61,1.61,0.20,0.75,3.45,1.60,,
May,3.66,2.71,2.57,2.70,4.90,0.89,1.23,2.11,1.42,1.11,,
June,1.27,1.93,1.92,3.53,3.21,1.91,1.39,4.13,1.11,2.66,,
July,0.99,1.60,3.73,3.95,1.12,2.96,4.18,4.30,2.09,3.41,,
August,4.05,4.95,2.48,4.94,0.54,5.54,4.05,2.32,3.22,3.24,,
September,3.38,1.48,2.30,1.61,1.69,2.89,4.48,3.94,0.20,6.20,,
October,0.69,4.33,2.17,3.49,1.78,1.51,1.38,2.69,2.95,5.26,,
November,7.16,2.38,1.36,6.05,2.98,0.77,1.90,1.87,4.57,3.73,,
December,2.32,2.79,1.30,2.44,2.19,3.30,2.29,3.26,4.95,3.38,,
Total,36.24,30.37,24.37,35.38,28.10,27.04,27.22,34.66,28.99,40.46,,
Calc annual,36.24,30.37,24.37,35.38,28.10,27.04,27.22,34.66,28.99,40.46,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,,
