BIRMINGHAM (HANDSWORTH PARK) (+A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP048900,Long,-1.930709,Lat,52.507874,Elevation,424,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2483/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.8,2.98,1.02,3.5,3.58,3.02,5.66,2.8,3.55,4.3,5.04,2.47,1.83,2.37,2.29,4.68,1.45,0.72,2.39,2.72,0.97,1.19,2.67,3.85,1.3,3.04,3.14,5.8
February,,,3.64,0.25,2.61,2.43,3.91,0.71,1.44,2.5,2.61,1.14,1.67,1.45,2.34,2.74,1.87,1.83,0.73,4.83,3.03,0.58,1.22,2.2,2.1,0.59,2.56,4.77,0.22,2.49
March,,,2.94,2.25,0.72,2.26,2.2,0.44,1.55,1.74,2.26,1.45,0.88,0.31,0.84,0.8,6.05,1.17,1.64,1.25,4.87,2.26,1.55,2.72,3.31,1.22,2.26,1.48,1.67,1.58
April,,,0.75,2.39,3.37,2,2.65,0.1,2.13,4.82,1.85,2.05,0.79,1.78,1.18,2.1,2.41,1.91,2.23,1.9,2.43,2.64,2.8,0.56,1.61,1.61,0.2,0.75,3.45,1.6
May,,,1.7,0.95,1.58,0.95,2.33,1.91,1.06,2.96,3.22,3.35,4.01,0.68,3.62,2.98,2.51,2.42,2.37,1.75,3.66,2.71,2.57,2.7,4.9,0.89,1.23,2.11,1.42,1.11
June,,,2.19,0.86,2.53,3.17,0.61,1.65,1.67,0.74,0.83,0.43,1.5,1.47,2.79,2.89,1.44,3.47,0.4,1.81,1.27,1.93,1.92,3.53,3.21,1.91,1.39,4.13,1.11,2.66
July,,,2.21,0.9,0.45,6.62,2.64,2.91,4.66,3.46,3.55,1.92,1.07,2.37,2.24,1.61,3.93,1.83,3.14,2.78,0.99,1.6,3.73,3.95,1.12,2.96,4.18,4.3,2.09,3.41
August,,,1.2,2.34,1.66,0.61,1.08,3.36,4.22,0.21,4.73,3,1.56,2.4,2.15,6.07,0.62,4.09,2.06,3.16,4.05,4.95,2.48,4.94,0.54,5.54,4.05,2.32,3.22,3.24
September,,,0.91,1.99,3.5,2.99,2.27,1.78,0.87,0.83,0.43,1.73,2.23,3.04,1.19,3.77,1.54,3.05,1.13,4.24,3.38,1.48,2.3,1.61,1.69,2.89,4.48,3.94,0.2,6.2
October,,,4.64,1.67,3.32,1.72,2.54,2.51,4.06,3.86,2.57,2.67,1.73,3.02,3.86,0.59,0.4,3.02,5.76,0.88,0.69,4.33,2.17,3.49,1.78,1.51,1.38,2.69,2.95,5.26
November,,2.13,0.84,2.14,5.25,2.58,1.57,3.42,4.49,6.46,3.54,1.31,1.74,4.47,0.33,6.51,1.92,1.54,3.16,4.23,7.16,2.38,1.36,6.05,2.98,0.77,1.9,1.87,4.57,3.73
December,,0.9,0.4,4.76,3.63,2.79,2.54,3.85,1.51,1.84,1.67,3.05,1.22,1.75,3.18,2.79,2.31,4.58,1.36,1.57,2.32,2.79,1.3,2.44,2.19,3.3,2.29,3.26,4.95,3.38
Total,,,23.22,23.48,29.64,31.62,27.92,25.66,33.32,32.22,30.81,26.4,23.44,25.21,25.55,35.22,27.29,33.59,25.43,29.12,36.24,30.37,24.37,35.38,28.1,27.04,27.22,34.66,28.99,40.46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3011,HANDSWORTH PARK ,01/01/1932,31/12/1976,,,,,,,,,,,,,,,,,,,,,,,,,,,
