"HAYFIELD (DIMPUS CLOUGH)",,,,,,,,,,,,
Grid ref,SK065851,Long,-1.903790,Lat,53.362734,,,,,,,
Station no,2643/6/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.61,5.70,2.10,4.79,3.38,7.50,2.55,5.05,4.50,9.10,,
February,5.00,4.46,3.45,4.56,3.20,2.75,3.15,7.80,0.75,4.63,,
March,8.19,2.90,2.60,3.10,4.35,1.80,3.15,3.05,2.10,1.97,,
April,4.00,4.50,2.95,0.70,1.10,2.12,0.50,1.40,3.05,2.30,,
May,2.37,3.40,2.20,2.50,4.52,1.63,1.15,4.05,0.80,2.10,,
June,1.59,3.55,2.95,2.50,3.40,2.80,1.23,5.80,1.90,1.10,,
July,2.94,3.15,4.75,6.00,1.00,8.00,6.50,6.10,4.10,7.05,,
August,5.65,2.37,4.80,6.40,0.38,10.00,6.80,3.75,0.55,7.00,,
September,2.64,4.90,2.85,3.90,1.39,4.20,8.70,6.35,0.10,4.00,,
October,0.96,4.90,2.50,6.60,1.47,2.80,4.05,4.40,3.75,6.75,,
November,7.95,2.90,3.20,6.95,1.64,2.78,2.10,1.95,5.50,6.55,,
December,6.10,3.05,2.30,6.50,5.00,6.60,6.15,4.20,7.00,5.00,,
Total,52.00,45.78,36.65,54.50,30.83,52.98,46.03,53.90,34.10,57.55,,
Calc annual,52.00,45.78,36.65,54.50,30.83,52.98,46.03,53.90,34.10,57.55,,
Difference,-0.00,0.00,0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,,
