HAYFIELD-DIMPUS-CLOUGH-NEW-SITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK065851,Long,-1.9037903,Lat,53.362734,Elevation,1250,ft.,,,,,,,,,,,,,,,,,,,,,,
Station no,2643/6/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,4.8,5.98,5.66,5.43,7.97,,,,5.14,8.03,4.72,5.62,,9.8,3.9,2.95,,5.7,2.1,,,,,5.05,,9.1
February,,,,,6.75,3.8,7.4,1.97,3.3,,6.8,,3.66,3.4,4.5,7.12,,3.4,2.52,5.53,5,4.46,3.45,4.56,3.2,2.75,,7.8,0.75,4.63
March,,,,,2.08,3.11,5.49,2.58,2.55,3.32,5.35,3.79,1.9,1.3,2.2,1.67,,1.84,2.8,2.1,8.19,2.9,2.6,3.1,4.35,,,3.05,2.1,1.97
April,,,,,3.8,1.4,4.72,0.56,2.76,3.1,2.45,1.68,2.12,3.47,2.22,1.82,3.7,2.28,3.91,3.14,4,4.5,2.95,0.7,1.1,,,1.4,3.05,2.3
May,,,,,0.35,0.91,2.41,3.9,1.78,1.24,2.56,3.96,2.94,4.13,4.21,1.1,3.43,1.26,2.6,1.12,2.37,3.4,,2.5,,,,4.05,0.8,2.1
June,,,,,4.68,3.32,2.22,4.28,2.47,1.05,2.61,1.16,3.28,3.98,4.02,4.18,2.5,5.66,1.36,3.05,1.59,3.55,2.95,2.5,,,1.23,5.8,1.9,1.1
July,,,,,2.69,6.38,5.67,5.76,6.37,4.43,3.81,5.92,1.84,3.92,2.32,4.89,3.1,3.52,1.7,2.69,2.94,3.15,,6,1,8,6.5,6.1,,
August,,,,,2.15,2.56,1.03,2.7,1.93,2.2,7.15,4.5,5.23,3.3,3.43,5.5,0.27,6.15,,5.12,5.65,2.37,,6.4,0.38,,6.8,3.75,0.55,
September,,,,,7.34,7.3,1.08,,1.29,3.84,1.03,3.6,5.65,5.25,3,5.88,2,2.94,1.83,6.09,2.64,4.9,2.85,3.9,1.39,,8.7,6.35,0.1,
October,,,,,10,5.98,3.93,8.6,3.7,3.95,5.42,8.6,2.67,4.9,6.8,1.38,0.82,3.07,3.54,2.14,0.96,4.9,,6.6,1.47,,4.05,4.4,3.75,6.75
November,,,,,6.26,5.76,1.8,5.31,6.75,8.61,3.47,1.52,4.56,6.72,0.86,6.72,6.3,2.81,5.62,6.07,7.95,2.9,3.2,6.95,1.64,2.78,2.1,1.95,,6.55
December,,,,,5.09,7.21,5.38,6.7,2.66,4.93,4.07,4.27,2.21,3.9,3.2,5,5.86,4.03,5.4,4.75,6.1,3.05,2.3,6.5,,,6.15,4.2,7,5
Total,,,,,55.99,53.71,46.79,,43.53,,,,41.2,52.3,41.48,50.88,,46.76,,44.75,,45.78,,,,,,53.9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is from 1950 record and is near Dimpus Clough and River Sett (Sett is in title of one record). Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
