"CARR BRIDGE, CRANNICH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH 90955 22327,Long,-3.810291,Lat,57.278523,Elevation,850,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,4.16,2.96,4.99,1.44,2.82,1.91,3.93,5.03,1.21,3.07,4.24,3.58,2.58,2.91,2.15,2.18,3.2,4.31,4.34,0.73,1.66,3.04,1.78,,,,,,,
February,,0.68,2.53,2.04,2.27,6.66,1.16,0.61,2.38,0.33,0.94,2.1,0.38,2.5,1.03,3.61,1.42,2.44,1.66,2.02,0.84,2.3,2.06,,,,,,,,
March,,2.29,2.79,0.8,0.71,3.58,2.05,1.91,1.96,0.37,1.26,1.22,2.91,0.93,3.26,1.18,0.69,3.21,1.15,2.22,1.77,1.62,0.93,,,,,,,,
April,,1.3,4.11,1.55,0.99,2.44,2.81,3.28,1.19,2.86,1.65,2.84,4.72,2.05,4.58,3.12,1.97,0.45,0.61,1.56,1.59,1.34,1.36,,,,,,,,
May,1.42,2.38,1.49,6.87,3.39,2.02,2.52,2.93,2.03,1.8,1.45,2.66,3.23,1.29,3.06,1.85,2.11,1.45,2.43,0.77,2.4,2.22,1.67,,,,,,,,
June,0.51,1.11,1.32,1.59,1.78,0.42,3,4.17,3.33,1.84,1.53,2.96,0.27,1.34,0.9,3.72,1.59,1.28,3.8,1.58,0.64,0.32,1.32,,,,,,,,
July,2.54,1.95,3.26,3.65,3.32,1.84,3.05,2.42,1.77,3.22,4.1,4.81,3.65,3.42,4.99,1.02,4.46,2.86,3.99,5.66,7.12,2.06,2.32,,,,,,,,
August,1.7,2.88,2.11,4.55,4.16,0.97,1.79,5.22,5.19,2.89,3.8,3.59,0.83,1.59,2.94,2.91,2.88,3.2,1.52,2.4,2.38,5.74,2.76,,,,,,,,
September,1.76,2.14,1.59,1.63,3.99,4.8,2.08,5.19,3.64,1.46,4.16,1.56,2.91,1.86,1.34,4.12,3.24,1.07,2.49,2.29,1.51,1.17,3.39,,,,,,,,
October,1.26,2.35,1.91,3.02,2.59,2.33,5.47,3.96,3.2,4.33,3.59,2.08,5.91,5.59,5.44,6.43,3.86,1.83,5.27,2.1,2.64,4.11,4.03,,,,,,,,
November,2.74,1.53,2.06,2.93,1,1.25,3.34,3.1,4.29,1.94,3.69,2.61,2.82,1.44,1.61,2.72,2.15,0.68,3.28,2.74,4.94,2.48,0.85,,,,,,,,
December,1.81,3.59,2.28,2.68,4.01,3.57,1.62,0.94,1.79,2.82,2.21,2.39,3.08,0.17,2.04,2.07,3.67,1.34,1.59,2.25,4.3,3.81,2.18,,,,,,,,
Total,,26.36,28.41,36.3,29.65,32.7,30.8,37.66,35.8,25.07,31.45,33.06,34.29,24.76,34.1,34.9,30.22,23.01,32.1,29.93,30.86,28.83,25.91,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920 A deleted estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
