CARRBRIDGE (ROSE COTTAGE) (BRAEVAL),,,,,,,,,,
Grid ref,NH910224,Long,-3.809575,Lat,57.279186,Elevation,850,ft,,
Station no,5700,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.65,1.62,2.64,2.94,3.48,3.45,2.22
February,,,,2,2.81,2.37,3.43,2.59,0.68,3.62
March,,,,1.49,1.26,1.18,2.84,1.67,0.95,0.34
April,,,,1,0.64,1.84,0.89,1.74,1.71,1.76
May,,,2.91,4.44,2.77,0.83,1.22,2.55,1.28,0.44
June,,,3.56,2.62,0.82,2.44,2.63,2.29,2.74,2.5
July,,,4.29,2.18,0.51,4.25,4.61,3.44,2.16,1.98
August,,,2.89,2.63,0.71,6.16,3.43,4.11,0.7,5.94
September,,,2.55,2.34,1.72,4.12,1.63,1.58,0.52,2.71
October,,,0.9,5.11,4.87,4.16,1.91,2.19,3.48,2.95
November,,,2.7,2.18,1.02,1.96,2.34,0.94,3.66,1.41
December,,,3.56,6.22,4.78,4.25,2.61,2.62,2.36,1.93
Total,,,,34.86,23.53,36.2,30.48,29.2,23.69,27.8
