ST MARYS ISLE KIRKCUDBRIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX675494,Long,-4.063819,Lat,54.82187,Elevation,0,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8.05,9,5.6,,,,,4.93,2.85,4.26,3.25,,,,,,,,,,,,,,,,2.16,3.25,2.68,5.24,7.32,2.97,,,,,
February,,,,,,,,-999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1,5.9,10.55,5.4,,,,,1.15,0.43,1.95,6.7,,,,,,,,,,,,,,,,2.72,5.54,5.09,3.71,2.33,5.22,,,,,
March,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,2.9,5.45,6.95,,,,,2.7,2.4,1.3,1.2,,,,,,,,,,,,,,,,3.73,2.74,1.54,5.41,3.1,4.88,,,,,
April,,,,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,4,1.6,4.85,,,,,1.8,2.12,1.17,0.75,,,,,,,,,,,,,,,,4.41,2.43,4.2,1.38,3.59,1.18,,,,,
May,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,2.5,3.35,2.55,,,,,2.75,1.76,5.55,2.05,,,,,,,,,,,,,,,,1.8,2.3,3.13,1.88,4.56,1.9,,,,,
June,,,,,,,,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.35,4.6,0.7,1.75,,,,,4.73,1.35,3.75,1.8,,,,,,,,,,,,,,,,4.13,1.72,2.79,6.2,2.28,0.57,,,,,
July,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2.3,5.2,4,,,,,3.95,1.47,2.92,3.9,,,,,,,,,,,,,,,,6.12,3.63,2.1,3.42,0.91,3.45,,,,,
August,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,8.7,2.7,3.7,,,,,4.05,7.5,7,3.4,,,,,,,,,,,,,,,,3.11,8.1,2.53,6.13,1.92,4.54,,,,,
September,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,6.2,4.65,11.75,,,,,4.1,5.3,4.45,3.95,,,,,,,,,,,,,,,,4.72,1.23,2.48,2.39,3.08,1.76,,,,,
October,,,,,,,,3.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,4.85,6.85,,,,,2.57,6.7,3.47,3.6,,,,,,,,,,,,,,,,11.15,3.73,3.24,5.7,2.94,2.4,,,,,
November,,,,,,,,5.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,8.1,3.35,4.06,,,,,10.07,6.2,4.05,2.5,,,,,,,,,,,,,,,,1.79,6.98,5.51,3.29,5.41,5.93,,,,,
December,,,,,,,,6.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,5,6.45,4,,,,,1.98,8.5,3.07,4.93,,,,,,,,,,,,,,,,7.28,7.04,8.64,5.92,3.13,6.82,,,,,
Total,,,,,,,,37.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.3,63.25,57.85,61.46,,,,,44.78,46.58,42.94,38.03,,,,,,,47.51,42.92,37.86,54.08,42.25,32.75,43.62,50.49,45.67,53.12,48.69,43.93,50.67,40.57,41.62,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERROR_TYRain_1830-1839_D_pt1-page-014.csv CORRECTION 1837 Jan and Feb values bracketted together=7.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_14_pt1-page-013.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_23_pt1-page-017.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_27_pt1-page-017.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_25_pt1-page-078.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
