"KIRKCUDBRIGHT ST MARY'S ISLE",,,,,,,,,,,,
Grid ref,NX675494,Long,-4.063819,Lat,54.821870,,,,,,,
Station no,RR1113,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,,,2.16,,
February,,,,,,,,,,2.72,,
March,,,,,,,,,,3.73,,
April,,,,,,,,,,4.41,,
May,,,,,,,,,,1.80,,
June,,,,,,,,,,4.13,,
July,,,,,,,,,,6.12,,
August,,,,,,,,,,3.11,,
September,,,,,,,,,,4.72,,
October,,,,,,,,,,11.15,,
November,,,,,,,,,,1.79,,
December,,,,,,,,,,7.28,,
Total,47.51,42.92,37.86,54.08,42.25,32.75,43.62,50.49,45.67,53.12,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.12,,
Difference,47.51,42.92,37.86,54.08,42.25,32.75,43.62,50.49,45.67,-0.00,,
