HIGH-WYCOMBE-ROYAL-GRAMMAR-SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU8743494302,Long,-0.73789091,Lat,51.640734,Elevation,545,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,1.35,,3.69,,,,1.53,3.56,3.54,,3.59,3.43,1.66,3.25,2.37,3.58,2.55,5,,3.99,1.95,1.61,2.59,,,,,,,
February,,1.9,,0.89,3.46,,3.61,0.65,1.36,2.2,0.77,0.29,2.84,4.37,0.72,3.61,2.52,4.74,2.63,,0.66,1.91,0.15,2.7,,,,,,,
March,,1.75,,2.59,4.66,,3.69,1.74,1.08,4.87,1.99,1.09,2.39,2.69,1.88,0.66,0.43,3.1,2.04,,1.51,0.12,2.2,3.08,,,,,,,
April,,1.58,,3.31,0.91,,1.39,1.87,4.59,3.3,4.27,0.97,3.45,2.48,3.39,2,2.92,1.6,1.24,,2.01,3.24,2.53,1.09,,,,,,,
May,,2.11,,2.11,,,1.7,2.04,2.59,0.65,1.74,2.19,1.13,2.72,3.79,2.84,2.48,1.3,1.49,,1.95,2.78,3.8,1.27,,,,,,,
June,,2.12,,0.66,1.59,,2.89,3,0.98,1.11,2.31,0.32,1.25,0.51,2.73,0,3.19,3.63,2.71,,0.76,1.27,0.69,2.15,,,,,,,
July,,,,0.92,1.79,,1.78,4.57,3.82,,5.59,0.2,4.26,2.23,5.7,5.2,2.13,3.53,2.54,,2.86,4.95,1.97,1.91,,,,,,,
August,,,,,1.21,,4.72,5.2,1.55,,1.65,2.07,,2.99,,3.69,1.43,,2.22,,3.27,4.43,3.27,0.48,,,,,,,
September,,,,,1.09,,1.31,1.82,5.37,2.55,2.12,2.37,2.08,2.21,3.5,3.06,1.95,,1.07,,2.38,3.31,2.67,2.31,,,,,,,
October,,2.97,,5.16,2.43,,4.65,4.07,1.44,,1.44,1.27,0.9,5.03,,3.45,2.56,2.74,,,1.39,0.83,4.23,1.73,,,,,,,
November,3.55,3.32,,2.71,2.51,,4.24,1.13,1.35,,1.27,1.67,1.48,1.67,2.68,2.42,5.09,,,,4.61,3.68,2.15,0.92,,,,,,,
December,5.68,6.58,,,8.26,,3.21,0.9,2.51,,3.22,1.64,2.45,3.45,4.53,2.75,0.6,3.65,,,3.22,1.13,0.74,0.43,,,,,,,
Total,,,,,,,,28.52,30.2,,,17.67,,,,32.05,28.88,,,,28.61,29.6,26.01,20.66,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1919 Jul Aug Oct Nov Dec estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920 Jan estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1922 Aug estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1923 Total bracketed (some undefined estimation during year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924 Aug Oct estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927 Aug Sep Nov estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1928 Oct Nov Dec estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1931 Oct IDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
