"WESSENDEN (HOLLY BANK MOSS)",,,,,,,,,,,,
Grid ref,SE064082,Long,-1.904831,Lat,53.570369,,,,,,,
Station no,3188,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.10,5.46,2.71,4.73,3.76,6.24,5.43,6.11,5.45,7.54,,
February,5.47,1.96,2.73,3.87,2.56,1.87,4.52,8.50,0.47,3.59,,
March,7.84,3.14,3.33,3.37,3.34,2.21,4.76,5.17,2.66,2.17,,
April,3.30,4.76,4.69,1.06,3.07,3.78,0.99,1.62,6.22,3.05,,
May,4.66,2.59,3.11,4.23,4.96,2.09,1.48,5.81,2.63,3.13,,
June,1.63,3.36,6.30,4.81,4.40,3.89,2.64,6.28,2.44,2.43,,
July,3.65,3.27,7.61,6.56,1.57,9.86,6.13,6.58,4.23,7.87,,
August,7.30,4.72,5.71,8.15,0.88,12.78,6.36,6.05,0.68,7.29,,
September,3.41,5.44,3.60,6.95,3.18,6.02,7.90,5.85,0.38,3.49,,
October,1.46,7.00,3.56,9.25,3.38,3.95,7.37,5.51,4.77,8.29,,
November,11.98,3.02,4.48,8.59,2.60,2.36,3.90,1.64,6.35,5.68,,
December,9.63,4.90,2.33,8.46,7.03,6.04,5.42,6.51,10.36,5.78,,
Total,67.43,49.62,50.16,70.03,40.73,61.09,56.90,65.63,46.64,60.31,,
Calc annual,67.43,49.62,50.16,70.03,40.73,61.09,56.90,65.63,46.64,60.31,,
Difference,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,,
