"CARDIFF CASTLE",,,,,,,,,,,,
Grid ref,ST180766,Long,-3.182260,Lat,51.482387,,,,,,,
Station no,RR1461,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,6.07,2.26,2.19,,,,,,,,,
February,6.74,0.93,1.70,,,,,,,,,
March,1.00,2.24,2.71,,,,,,,,,
April,1.85,4.39,2.51,,,,,,,,,
May,2.13,0.96,2.80,,,,,,,,,
June,2.32,3.11,2.72,,,,,,,,,
July,1.21,2.87,2.03,,,,,,,,,
August,4.45,4.22,3.84,,,,,,,,,
September,1.37,4.78,3.11,,,,,,,,,
October,5.98,2.69,3.56,,,,,,,,,
November,5.34,1.10,4.53,,,,,,,,,
December,6.59,6.32,3.53,,,,,,,,,
Total,45.05,35.87,35.23,,,,,,,,,
Calc annual,45.05,35.87,35.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,-0.00,-0.00,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
