ASSYNT ACHUMORE,,,,,,,,,,,,,,,,,,,,
Grid ref,NC 241 247,Long,-4.992008,Lat,58.176214,Elevation,430,ft,,,,,,,,,,,,
Station no,RR2456,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,11.7,7.8,4.4,5.7,11.2,5.4,6.1,,5.9,4.4,11.1,3.7,11.2,6.7,10.2,7.3
February,,,,,2.8,4.5,8.9,10.3,5.3,2.8,8.3,,6.3,4.5,3.2,5.5,5.4,5,7.1,12.1
March,,,,,11.9,4.6,10.2,8.2,11.3,3.3,1,,10,4.7,3.1,6,4.1,2.5,5.9,6.3
April,,,,,4.8,3.6,4.8,2.4,0.7,1.7,2.8,,4.1,1.4,0.3,0.5,2.5,5.8,4.5,5.1
May,,,,,4.6,6.5,4.2,5,4.3,2.8,3.3,,3.8,5.6,5,5.4,2.9,2.3,6,1.8
June,,,,,5,3.8,3.3,5.1,2.1,3.7,5.5,,4.5,1.7,3.2,2.6,5.4,1.2,2.2,0.4
July,,,,,5.5,6.1,5.7,9.1,9.7,6.6,9.9,,5.2,7.2,4.1,1.7,5.3,10,1.4,1
August,,,,,6.7,4.4,6,8.9,1.7,9.1,1.8,,9.1,7.8,3.2,2.4,4.3,9.3,4,6.6
September,,,,,6.6,4,6,5.2,8.7,7.6,5.2,,2.7,5.3,5.2,10.2,3.1,8.2,4.1,7
October,,,,,15.8,5,4.5,12.7,9.8,9.1,8.4,,1.7,10.1,12.2,9.8,2.2,8.7,12.2,4.7
November,,,,,9.1,7.9,7,11.1,13,9.5,9.2,,8.8,7.7,10.2,5.4,9.5,4.3,7.2,8.6
December,,,,,6.7,9.8,8.9,9.7,6.6,5.2,13.8,,8.6,9.1,7.1,12.3,13.2,7.6,4,7.5
Total,,,,,91.2,68,73.9,93.4,84.4,66.8,75.3,,70.7,69.5,67.9,65.5,69.1,71.6,68.8,68.4
