SHIFNAL HAUGHTON HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ741084,Long,-2.384466,Lat,52.672682,Elevation,355,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,
January,2.61,0.74,1.99,2.18,0.73,3.16,1.94,3.21,1.84,2.91,1.5,1.78,4.63,2.37,1.81,2.46,1.6,3.81,2.02,1.64,0.55,0.52,2.48,3.47,2.6,1.76,3.52,3.1,0.75,0.34,2.94,1.77,2.75,1.76,2.2,4.37,1.06,1.9,1.03,3.29,2.64,2.31,1.37,2.02,2.49,0.76,3.66,1.4,1.33,1.25,1.87,0.42,4.06,3.24,1.18,2.96,,,,,,
February,0.38,1.73,0.19,0.44,1.39,1.19,2.03,1.63,2.17,2,1.76,1.62,2.89,0.94,2.41,1.56,3.2,2.71,1.23,2.26,2.12,3.09,2.8,2.12,1.58,2.03,1.05,0.44,0.55,1.73,0.74,0.1,1.65,2.83,2.47,0.24,0.69,2.51,1.69,2.55,3.46,1.27,1.4,1.5,4.01,0.62,1.67,1.31,1.5,0.74,2.67,1.71,0.86,0.86,1.89,2.9,,,,,,
March,2.12,3.19,2.6,1.03,1.59,1.09,1.76,2.91,1.36,1.59,1.54,0.84,2.04,3.2,0.88,0.82,2.45,2.56,1.12,0.89,1.11,2.16,1.53,1.26,2.23,0.92,2.82,1.84,2.63,3.23,1.21,1.29,0.95,0.47,1.3,1.98,2.35,2.39,0.96,0.95,0.99,1.32,1.56,4.14,1.44,3.73,1.48,1.16,3.3,2.86,0.46,1.42,3.55,5.2,2.23,0.83,,,,,,
April,0.78,0.83,2.08,0.72,1.4,1.1,0.74,2.21,1.51,1.78,1.09,2.92,2.96,0.78,1.17,0.66,2.62,2.34,1.93,2.49,1.57,1.03,3.56,1.04,1.64,2.74,1.17,1.19,1.76,3.92,1,2.12,1.34,0.47,1.85,1.99,1.31,2.41,1.57,3.02,0.86,2.27,2.09,1.54,1.48,1.91,2.15,2.08,3.17,2.18,1.94,0.81,0.23,3.71,1.03,1.08,,,,,,
May,2.87,0.75,4.14,1.27,1.88,2.64,1.47,1.93,1.52,4.73,0.76,1.18,2.06,2.7,1.98,1.15,0.74,2.32,5.95,2.55,2.43,1.64,2.18,1.76,1.04,2.33,6.82,1.76,0.57,2.63,1.72,3.75,2.88,1.87,3.04,0.6,0.43,1.08,3.56,2.2,1.9,1.12,3.11,2.69,1.81,0.8,3,3.39,2.18,1.31,1.64,1.07,2.47,2.22,1.12,2.44,,,,,,
June,5.45,4.28,1.73,3.67,1.22,2.32,3.31,1.21,0.14,0.96,0.54,2.31,4.72,2.61,0.77,2.63,2.52,1.06,2.57,5.21,3.86,3.03,5.1,2.86,1.88,2.63,1.15,1.71,2.39,0.85,2.2,2.55,3.31,1.65,2.48,1,1.15,3.17,1.53,3.9,1.61,2.57,1.82,1.47,0.68,2.02,1.55,2.98,2.22,3.01,1.42,2.61,5.57,1.01,2.62,1.42,,,,,,
July,2.59,4.97,2.27,1.16,0.58,1.45,1.27,2.89,0.45,0.72,1.04,3.46,3.84,2.73,1.17,5.59,3.62,5.63,1.3,3.69,5.49,1.76,3.64,2.04,3.17,0.41,3.16,2.02,4.86,2.25,2.35,1.82,2.12,1.82,2.88,3,1.79,0.92,0.92,1.66,1.42,2.45,1.62,1.84,1.94,1.53,1.01,2.6,2.78,3.8,2.42,0.2,2.39,1.32,3.95,6.79,,,,,,
August,5.78,1.1,2.85,2.29,1.36,3.88,4.5,2.2,3.18,1.41,2.92,1.49,4.21,3.17,2.62,3.56,2.31,5,5.12,6.16,0.81,4.37,2.1,0.95,2.11,2.49,1.46,2.77,3.68,4.22,3.55,4.03,2.33,2.1,2.84,1.87,2.02,3.21,2.66,1.23,3.72,2.34,5.82,5.52,2.79,5.22,1.49,2.84,3.33,2.02,3.77,1.69,5.52,2.25,2.11,2.81,,,,,,
September,1.74,2.49,2.75,3.05,1.5,0.18,5.4,1.22,2.62,4.76,0.7,5.27,3.72,1.43,2.88,4.14,4.52,2.66,3.03,2.69,3.53,1.65,1.53,4.4,2.13,4.17,2.37,2.37,0.7,2.53,1.09,2.33,3.06,1.64,1.42,0.64,3.48,2.86,0.68,2.78,0.83,0.8,1.44,3.3,2.29,1.07,1.35,1.11,2.76,2.71,0.58,1.8,0.87,1.54,1.68,0.69,,,,,,
October,1.59,1.02,2.94,2.84,1.8,3.27,2.37,3.05,1.5,1.59,4.47,2.98,6.07,2.38,1.65,5.32,2.81,2.3,3.7,1.42,4.92,2.77,5.49,3.12,1.21,4.83,4.13,2.21,0.69,3.02,1.66,4.91,3.47,2.23,2.6,2.57,3.37,1.3,2.83,3.04,3.8,2.27,3.18,5.38,1.12,1.55,4.44,4.96,1.94,3.01,3.44,2.07,2.87,4.03,1.34,2.28,,,,,,
