WORPLESDON-PERRY-HILL-FARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU969534,Long,-0.61233227,Lat,51.271522,Elevation,175,ft.,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR8382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,0.9,1.96,0.94,2.79,3.3,0.56,,,0.47,3.63,,2.87,,,,3.37,2.4,,,,,
February,,,,,,,,,,0.41,2.75,1.25,2.58,0.91,3.57,,,0.8,1.1,,0.31,,,,0.78,4.09,,,,,
March,,,,,,,,,,3.75,0.92,1.58,2.38,3,4.1,,,1.83,0.62,,1.44,,,,0.85,0.92,,,,,
April,,,,,,,,,,1.84,1.11,1.49,0.05,2.5,1.21,,,2.75,4.4,,4.6,,,,3.46,2.49,,,,,
May,,,,,,,,,,1.57,1.77,1.37,1.1,1.72,0.84,,,1.29,1.46,,0.55,,,,2.48,2.09,,,,,
June,,,,,,,,,,3.37,3.92,2.04,1.28,0.59,0.71,,,2.68,0.95,,1.4,,,,3.08,0.04,,,,,
July,,,,,,,,,,2.1,2.36,1.38,1.54,1.76,2.19,,,4.2,6.79,,4.85,,,,4.8,3.41,,,,,
August,,,,,,,,,,1.91,2.97,0.4,5.09,1.7,1.59,,,5.4,1.97,,2.6,,,,2.9,3.29,,,,,
September,,,,,,,,,,2.5,0.5,0.62,3.26,1.3,0.86,,,1.43,6.24,,2.5,,,,2.93,2.7,,,,,
October,,,,,,,,,,4.16,3.2,3.24,2.8,-999,1.66,,,3.1,1.25,,1.08,,,,3.5,3.2,,,,,
November,,,,,,,,,,0.75,3.55,3.53,2.02,-999,3.39,,,0.57,2.71,,1.15,,,,2.37,1.8,,,,,
December,,,,,,,,,,3.09,4.49,7.13,2.98,1.45,8.8,,,1.4,2.1,,2.16,,,,3.65,2.85,,,,,
Total,,,,,,,,22.69,22.05,26.35,29.5,24.97,27.87,25.76,29.48,,,25.92,33.22,,25.51,,,,34.17,29.28,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Perry Hill Farm. Stated altitude varies; OS figure used.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
