HANKHAM,,,,,,,,,,,,
Grid ref,TQ621056,Long,0.300270,Lat,50.827248,,,,,,,
Station no,536/3,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,5.64,2.19,4.45,4.16,2.78,,
February,,,,,,0.51,4.92,3.20,0.03,2.58,,
March,,,,,,0.47,1.63,1.73,1.95,2.84,,
April,,,,,,1.15,0.27,1.14,2.25,1.26,,
May,,,,,,0.35,0.80,2.28,0.60,,,
June,,,,,2.33,2.40,0.61,3.60,0.77,,,
July,,,,,1.06,3.53,4.82,3.24,1.59,,,
August,,,,,1.97,3.86,1.98,4.79,0.92,,,
September,,,,,2.32,3.67,3.99,3.84,0.17,,,
October,,,,,4.96,1.41,1.64,4.60,4.34,,,
November,,,,,1.43,1.02,2.76,2.39,5.36,,,
December,,,,,4.64,4.28,1.97,4.18,8.41,,,
Total,,,,,,28.29,27.58,39.44,30.55,,,
Calc annual,0.00,0.00,0.00,0.00,18.71,28.29,27.58,39.44,30.55,9.46,,
Difference,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,NaN,,
