LINCLUDEN HOUSE (DUMFRIES),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX963777,Long,-3.626023,Lat,55.082872,Elevation,60,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR3088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,3.49,2.04,4.22,1.93,4.51,5.37,2.25,1.76,4.16,5.23,3.31,3.17,5.54,1.71,5.35,3.08,5.67,7.89,5.91,2.39,4.68,4.06,6.03,4.39,9.54,2.02,
February,,,,,2.87,2.03,2.35,3.11,3.66,1.9,5.98,4.69,3.14,2.58,6.14,8.88,4.04,1.13,4.96,0.99,4.06,0.6,3.73,6.32,0.49,5.03,5.3,2.53,3.63,1.44,
March,,,,,3.07,4.78,2.94,3.66,5.09,4.66,3.4,1.03,4.83,4.55,5.4,1.67,1.5,2.92,1.61,3.9,4.52,5.59,2.48,1.96,1.46,1,2.2,3.62,5.1,1.03,
April,,,,,2.98,3.94,1.02,2.65,1.87,3.76,3.06,3.75,0.57,5.07,1.89,2.76,2.72,3.05,0.62,1.96,2.69,1.02,2.38,4.3,3,4.89,2.15,2.08,1.49,1.2,
May,,,,,2.29,1.85,6.28,4.74,3.58,2.24,2.31,2.72,1.85,4.38,2.2,1.5,3.63,3.53,2.1,0.79,4.83,2.89,2.4,2.26,3.85,5.21,2.74,2.33,1.73,3.21,
June,,,,,1.55,1.91,1.49,6.4,2.89,3.54,1.9,3.02,5.67,2.7,0.53,1.18,1.88,2.53,1.35,2.3,2.03,0.54,1.76,1.19,1.63,0.35,3.76,3.99,6.27,2.24,
July,,,,,3.16,1.98,2.54,2.04,3.76,3.66,4.63,1.57,4.63,0.74,3.02,3.67,4.46,2.1,3.05,1.05,4.42,5.06,4.48,4.3,4.42,2.19,4.08,9.5,2.98,4.26,
August,,,,,4.22,3.17,7.37,4.84,3.88,2.04,7.15,2.53,4.44,1.23,3.61,2.56,3.53,6.23,4.5,3.23,3.65,7.08,2.91,8.34,4.89,5.06,4.45,7.19,7.06,5.39,
September,,,,,2.12,1.58,0.8,0.66,4.11,2.06,1.2,1.96,1.9,2.2,1.38,0.96,1.92,3.56,7.22,3.51,2.38,2.03,2.46,5.38,5.16,2.29,3.87,6.79,2.2,0.62,
October,,,,,2.08,3.21,5.01,8,1.93,10.85,3.6,3.5,3.76,3.62,1.53,3.14,8.02,6.23,5.85,1.41,2.98,3.08,2.21,6.28,3.82,5.31,3.57,4.61,8.31,5.5,
November,,,,,3.15,4.17,2.91,3.33,2.55,1.4,4.32,5.5,3.37,4.95,5.28,2.67,4.37,4.12,4.09,3.39,2.62,2.32,1.61,4.57,3.13,1.72,6.56,4.46,5.29,6.68,
December,,,,,3.38,2.23,2.9,5.41,3.83,5.79,5.29,8.44,6.57,3.03,6.85,6.89,4.91,2.52,4.94,7.14,4.6,5.61,4.34,3.96,7.5,3.74,1.05,1.7,3.28,8.17,
Total,,,,,34.36,32.89,39.83,46.77,41.66,47.27,45.09,40.47,44.89,40.28,41.14,39.05,46.52,39.63,45.64,32.75,44.45,43.71,36.67,51.25,44.03,40.85,45.76,53.19,56.88,41.76,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904 Jan 3.49 and Total estimated and hence removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
