"LINCLUDEN HOUSE (DUMFRIES)",,,,,,,,,,,,
Grid ref,NX963777,Long,-3.626023,Lat,55.082872,,,,,,,
Station no,RR3088,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,3.49,2.04,4.22,1.93,4.51,5.37,,
February,,,,,2.87,2.03,2.35,3.11,3.66,1.90,,
March,,,,,3.07,4.78,2.94,3.66,5.09,4.66,,
April,,,,,2.98,3.94,1.02,2.65,1.87,3.76,,
May,,,,,2.29,1.85,6.28,4.74,3.58,2.24,,
June,,,,,1.55,1.91,1.49,6.40,2.89,3.54,,
July,,,,,3.16,1.98,2.54,2.04,3.76,3.66,,
August,,,,,4.22,3.17,7.37,4.84,3.88,2.04,,
September,,,,,2.12,1.58,0.80,0.66,4.11,2.06,,
October,,,,,2.08,3.21,5.01,8.00,1.93,10.85,,
November,,,,,3.15,4.17,2.91,3.33,2.55,1.40,,
December,,,,,3.38,2.23,2.90,5.41,3.83,5.79,,
Total,,,,,34.36,32.89,39.83,46.77,41.66,47.27,,
Calc annual,0.00,0.00,0.00,0.00,34.36,32.89,39.83,46.77,41.66,47.27,,
Difference,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
