DONHEAD-ST-MARY-CHARLTON-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST902222,Long,-2.141029,Lat,50.999106,Elevation,514,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,2.84,3.78,4.8,1.63,0.99,3.77,2.1,2.57,2.68,3.29,3.59,1.34,3.12,1.18,4.8,4.43,3.1,1.15,3.21,4.86,1.33,7.53,0.98,1.63,,4.53,1.63,5.77,7.04,1.17,5.25,2.4,1.67,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,4.59,0.84,0.74,1.41,2.51,0.99,0.06,2.61,4.69,3.21,0.14,0.46,4.44,2.57,4.03,6.94,2.12,2.02,1.96,5.33,0.96,2.94,1.99,1.74,,5.2,2.31,3.71,1.59,6.19,7.8,6.94,1.34,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,1.97,3.09,1.92,3.88,3.39,1.94,3.69,0.8,0.85,2.12,3.04,3.72,6.08,1.36,0.66,1.61,2.92,2.48,4.1,2.06,5.2,1.62,0.87,4.03,,1.1,2.88,6.19,3.6,6.91,1.19,4.14,3.25,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,3.06,2.68,1.22,2.33,3.44,3.69,0.77,0.94,0.11,3.15,3.22,0.73,3.58,2.16,3.39,2.14,2.51,2.41,3.54,1.44,2.27,1.43,5.37,2.81,,2.84,2.22,0.1,3.5,1.57,1.86,1.36,2.31,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,4.18,3.97,2.13,1.57,1.54,2.49,3.31,0.98,1.23,1.87,0.32,0.3,1.75,5.07,1.7,2.41,1.77,2.69,3.72,3.47,0.51,4.8,1.98,2.54,,2.23,1.81,1.36,3.59,1.68,3.97,2.61,2.6,2.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,1.5,1.36,1.04,2.91,1.39,3.33,1.75,1.56,1.11,2.9,1.38,2.03,2.89,1.05,1.41,4.07,1.14,3.55,2.82,0.88,3.16,2.78,2.42,0.54,,5.45,2.79,5.96,0.78,2.12,0.69,2.68,3.39,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,0.21,2.64,0.58,4.96,3.75,3.4,4.41,1.64,4.19,5.54,3.61,1.59,1.52,0.51,2.57,1.4,1.37,2.01,3.19,2.65,0.48,1.23,1.29,2.04,,2.9,0.12,3.56,0.65,5.45,5.05,1.85,3.13,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,0.88,1.37,2.73,1.5,4.07,3.61,6.03,3.65,1.74,2.23,2.93,3.2,3.6,1.75,1.65,3.18,2.64,4.69,4.72,3.32,4.9,1.56,2.5,3.35,,3.42,1.15,8.07,1.78,3.75,2.53,7.8,5.54,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,5.43,2.37,2.49,1.59,1.9,2.11,2.07,3,3.13,2.54,0.68,8,3.39,1.99,2.68,0.79,3.4,1.25,3.23,2.37,1.44,0.84,0.68,2.34,,0.39,1.42,2.37,3.9,2.13,2.4,3.55,1.82,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,0.89,4.76,5.42,1.95,1.7,5.22,1.7,10.4,5.66,4.1,4.3,3.76,2.99,1.48,4.02,2.99,3.01,3.15,3.1,8.99,2.94,2.27,6.47,9.28,2.01,,6.48,3.17,4.86,4.26,4.23,7.49,6.99,4.58,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
