"KIRRIEMUIR LINTRATHEN GLEN DYE",,,,,,,,,,,,
Grid ref,NO293620,Long,-3.157521,Lat,56.744252,,,,,,,
Station no,5584,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.00,,4.80,4.40,2.80,1.30,4.30,,,,,
February,5.50,4.00,2.40,4.50,4.90,2.20,2.20,,,,,
March,2.50,2.70,1.80,5.50,1.60,4.50,2.40,3.20,,,,
April,2.00,3.80,3.20,2.20,3.90,3.50,1.40,4.20,,,,
May,3.40,4.00,1.90,1.90,2.60,3.20,4.00,4.50,,,,
June,4.90,1.30,1.90,2.80,1.70,2.20,2.40,8.10,,,,
July,2.90,2.90,4.20,5.20,2.00,2.60,2.40,2.50,,,,
August,4.70,5.50,3.30,4.20,5.30,3.20,4.50,5.10,,,,
September,2.50,2.50,2.90,4.40,2.90,2.90,1.70,1.50,,,,
October,3.70,3.40,1.80,8.80,2.30,2.90,4.80,5.40,,,,
November,5.70,1.30,6.00,2.00,0.80,6.50,4.60,3.20,,,,
December,4.00,,8.00,5.50,2.60,2.20,2.00,5.30,,,,
Total,48.80,,42.20,51.40,33.40,37.20,36.70,46.40,,,,
Calc annual,48.80,31.40,42.20,51.40,33.40,37.20,36.70,43.00,0.00,0.00,,
Difference,-0.00,NaN,0.00,-0.00,0.00,0.00,0.00,3.40,NaN,NaN,,
