"KIRRIEMUIR (GLENDYE)",,,,,,,,,,,,
Grid ref,NO296621,Long,-3.152645,Lat,56.745196,,,,,,,
Station no,5584,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.60,2.30,1.60,3.10,2.50,3.80,5.10,5.10,2.40,4.30,,
February,6.10,1.50,1.50,5.40,2.30,1.40,5.50,2.80,0.60,7.90,,
March,2.30,5.30,0.70,4.60,2.50,3.20,3.80,4.00,4.40,4.20,,
April,3.50,2.10,2.80,1.20,1.10,1.10,1.50,1.50,4.40,5.60,,
May,2.00,4.20,2.10,6.00,3.00,1.20,2.90,3.60,1.10,2.80,,
June,2.70,3.10,3.00,2.40,1.80,4.30,1.80,3.60,2.70,3.10,,
July,3.35,2.55,3.80,3.30,0.90,6.10,7.35,3.80,4.40,3.80,,
August,6.80,3.60,2.40,2.70,1.00,7.30,4.70,4.10,2.00,6.40,,
September,3.50,1.30,4.90,4.50,2.00,6.40,3.60,5.30,1.10,3.94,,
October,1.10,5.30,3.30,7.60,3.50,2.70,2.10,3.30,4.80,12.00,,
November,16.00,2.70,3.80,10.50,3.20,1.70,2.20,1.30,9.10,6.70,,
December,4.70,3.40,5.60,4.70,8.70,8.90,6.20,7.10,13.30,3.10,,
Total,56.65,37.35,35.50,56.00,32.50,48.10,46.75,45.50,50.30,63.84,,
Calc annual,56.65,37.35,35.50,56.00,32.50,48.10,46.75,45.50,50.30,63.84,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
