NORTH-CHERITON-MAPERTON-HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST671261,Long,-2.46957,Lat,51.03401,Elevation,390,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,5.86,0.9,4.46,1.65,1.2,4.22,5.44,4.99,3.13,4.55,1.94,4.28,3.43,4.73,4.04,4.92,1.5,5.24,3.17,3,3.19,2.7,0.91,,,,,
February,,,,1.19,3.95,6.08,6.52,1.48,1.46,2.99,1.08,0.27,2.98,7.38,0.63,4.78,2.45,4.63,2.55,1.64,0.91,2.8,0.08,4.37,0.19,3.48,,,,,
March,,,5.19,3.23,6.08,1.29,3.72,3.39,1.19,5.55,2.4,2.31,3.36,1.95,1.41,0.77,1.08,4.32,3.02,0.3,2.02,1.26,2.13,4.75,2.93,1.11,,,,,
April,,,0.2,3.34,1.51,1.51,1.45,2.51,2.11,2.69,5.29,1.11,3.56,3.19,3.1,2.8,4.28,1.68,1.94,0.84,2.62,3.08,2.81,1.58,2.96,,,,,,
May,,,1.76,3.4,2.33,2.97,2.67,2.51,2.03,0.85,1.85,2.15,0.62,1.78,5.79,4.02,2.12,1.68,2.17,2.03,1.94,3.67,4.91,1.75,0.87,,,,,,
June,,,5.42,1.56,2.28,1.43,2.43,4.15,1.43,1.42,2.77,0.43,1.01,0.62,2.09,0.19,3,2.85,3.09,1.56,0.39,3.82,1.72,2.07,1.62,,,,,,
July,,,3.69,1.06,4.98,5.02,1.13,3.42,7.32,2.97,,1,3.69,1.4,4.14,3.21,2.16,3.39,2.68,1.79,2.63,4.8,4.06,,0.88,,,,,,
August,,,7.6,1.79,2.89,3.41,5.91,6.94,2.78,3.92,,1.49,4.64,2.99,4.54,4.66,1.19,4.91,1.92,2.59,4.71,3.85,1.11,,3.86,,,,,,
September,,,1.4,3.72,2.63,2.93,4.22,2.14,5.81,2.11,1.58,1.92,2.73,3.88,4.65,3.75,1.16,6.55,1.72,0.87,4.92,1.78,5.38,,3.45,,,,,,
October,,,4.75,3.73,3.29,6.93,6.96,4.52,1.69,2.09,3.4,1.04,1.07,6.22,5.73,4.21,4.05,2.84,6.55,5.16,3.42,0.6,7.38,,3.44,,,,,,
November,,,2.25,3.61,4.16,2.74,5.95,1.16,3.17,2.71,1.91,2.21,1.97,2.23,4.16,2.61,9.13,3.67,3.59,8.49,4.77,5.37,2.83,,1.97,,,,,,
December,,,5.41,3.01,8.5,7.85,4.35,1.23,3.65,6.17,2.57,2.14,3.78,3.3,5.13,3.42,0.5,3.91,3.33,7.85,4.4,1.57,1.9,,9.59,,,,,,
Total,,,,35.5,43.5,46.62,46.96,34.65,36.86,38.91,,19.2,33.96,36.88,45.65,37.85,35.85,44.47,37.48,34.62,37.97,35.77,37.31,,34.46,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exact location of this gauge unknown Distance to church and station suggest gauge was 0.25miles SSW of  main house possibly in gardeners house,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
But elevation 80ft low Elevation matches 10yds S of Maperton House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1912 Jan Feb Estimated Station appears to have started in March,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920 July 29-31 Estimated from maps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920 Aug in brackets so assume some days of Aug estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forms for 1934 marked Gone Away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name on form changed to Head Gardener so alt change might have been gauge moved to Kitchen Garden which was 80yds NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 Alt marked as 400ft which would match as greenhouses marked at about 400ft elevation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
