PITLOCHRY (FASKALLY),,,,,,,,,,,,
Grid ref,NN916603,Long,-3.772900,Lat,56.721742,,,,,,,
Station no,5561/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.11,3.09,1.00,3.50,1.58,3.33,4.90,2.19,2.59,2.56,,
February,3.28,1.08,0.95,2.92,2.02,1.64,3.92,1.85,0.74,3.06,,
March,1.41,1.91,1.04,2.02,0.89,2.50,3.39,1.34,2.39,1.97,,
April,2.95,1.40,1.74,1.12,1.15,1.35,1.10,0.86,2.73,3.50,,
May,1.68,3.30,2.75,4.53,2.74,1.47,1.73,3.13,0.78,2.58,,
June,2.37,2.54,1.79,1.49,1.30,2.69,1.28,2.97,1.88,-999.00,,
July,1.39,1.96,3.02,2.39,0.77,4.18,3.32,3.83,3.34,2.33,,
August,5.47,2.93,2.45,3.87,1.09,4.79,3.11,5.22,1.19,2.49,,
September,2.20,1.30,3.17,3.14,1.80,4.63,1.73,4.28,1.10,2.38,,
October,0.91,4.20,2.06,6.04,2.32,2.13,2.36,2.63,4.82,4.04,,
November,8.51,1.91,3.13,6.89,1.91,1.40,0.48,1.20,4.76,3.89,,
December,3.98,2.39,4.13,5.61,7.10,6.05,5.10,4.59,7.62,3.97,,
Total,37.26,28.01,27.23,43.52,24.67,36.16,32.42,34.09,33.94,34.63,,
Calc annual,37.26,28.01,27.23,43.52,24.67,36.16,32.42,34.09,33.94,32.77,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.86,,
