"BRIDGE STREET (NEWRY)",,,,,,,,,,,,
Grid ref,IJ0833925800,Long,-6.341639,Lat,54.169884,,,,,,,
Station no,6195,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.59,5.03,2.49,6.54,3.97,3.43,4.72,1.56,3.57,2.91,,
February,3.01,2.16,4.27,3.95,3.91,2.13,2.73,2.47,2.48,1.41,,
March,0.57,3.09,1.90,7.03,2.86,5.53,2.57,3.56,5.42,3.04,,
April,2.79,2.80,4.37,1.25,2.02,2.43,1.84,3.29,2.94,4.28,,
May,3.23,2.53,3.29,3.43,2.44,1.17,4.49,4.87,2.07,1.78,,
June,4.12,2.65,2.23,1.28,2.09,2.77,1.70,5.54,2.04,2.13,,
July,4.45,0.77,3.13,4.76,4.01,1.47,2.55,1.71,3.31,3.31,,
August,4.09,3.41,2.05,4.75,5.85,6.82,3.78,3.06,2.66,1.68,,
September,1.89,4.91,2.76,4.57,4.25,1.24,1.18,1.26,5.35,2.30,,
October,4.69,3.85,2.13,5.64,1.34,1.89,5.32,5.43,3.15,5.43,,
November,5.80,4.05,5.53,1.90,2.36,4.35,3.25,3.34,3.02,1.29,,
December,4.96,3.77,3.90,4.14,3.03,3.02,2.89,4.14,5.48,4.99,,
Total,43.19,39.02,38.05,49.24,38.13,36.25,37.02,40.23,41.49,34.55,,
Calc annual,43.19,39.02,38.05,49.24,38.13,36.25,37.02,40.23,41.49,34.55,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
