"NEWRY (BRIDGE STREET HOUSE)",,,,,,,,,,,,
Grid ref,IJ082258,Long,-6.343762,Lat,54.169913,,,,,,,
Station no,6195,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.73,5.20,1.15,1.88,4.27,2.74,5.34,3.67,2.71,4.22,,
February,3.87,0.56,1.18,4.34,4.36,0.89,3.22,3.58,1.32,3.36,,
March,2.41,1.90,0.39,3.61,1.22,2.38,3.60,0.99,3.74,2.67,,
April,2.14,1.72,1.60,0.51,2.95,0.83,1.43,0.93,2.12,3.80,,
May,1.76,1.23,2.00,5.06,2.91,1.08,2.06,2.75,1.61,2.18,,
June,2.26,2.07,1.61,2.27,4.16,3.02,0.88,5.35,1.37,2.16,,
July,3.20,1.38,3.85,3.80,1.64,3.71,3.48,3.60,4.94,4.61,,
August,5.73,4.45,3.83,2.50,1.86,6.64,4.02,6.07,1.02,4.83,,
September,3.39,2.03,4.17,4.62,2.62,4.35,3.48,4.54,1.95,3.48,,
October,0.80,5.66,2.37,8.10,1.81,2.39,4.22,2.60,6.44,6.23,,
November,7.17,2.70,3.08,7.06,3.14,1.88,1.31,2.01,4.42,4.32,,
December,5.78,4.05,3.24,4.82,4.28,6.93,5.20,3.39,7.42,2.88,,
Total,42.24,32.95,28.47,48.57,35.22,36.84,38.24,39.48,39.06,44.74,,
Calc annual,42.24,32.95,28.47,48.57,35.22,36.84,38.24,39.48,39.06,44.74,,
Difference,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
