DUFFUS HOPEMAN LODGE (BRAEMOU),,,,,,,,,,
Grid ref,NJ1508869729,Long,-3.42668,Lat,57.7093,Elevation,65,ft,,
Station no,5681,,,,,,,,,
,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,2.4,1.49,3.19,3.4,0.6,,,3.01,
February,,1.97,2.38,1.72,2.01,2.37,,,1.39,
March,,1.02,1.4,1.61,0.88,1.06,,,2.66,
April,,0.75,1.98,1.67,1.17,0.94,,,1.8,
May,,2.15,3.4,1.88,2.65,1.37,,,2.16,
June,,1.22,1.64,2.79,2.3,1.5,,,1.08,
July,,3.41,1.75,1.69,2.49,5.21,,,1.49,
August,,2.48,3.38,2.13,4.72,2.8,,,4.78,
September,,3.18,2.82,4.15,2.42,2.04,,,2.25,
October,,4.98,2.49,2.78,4.07,0.43,,,1.99,
November,,1.05,3.2,3.69,0.55,2.77,,,2.35,
December,,2.71,0.86,2.78,3.66,1.54,,,4.69,
Total,,27.32,26.79,30.08,30.32,22.63,,,29.65,
,,,,,,,,,,
1942 Gauge move,,,,,,,,,,
,,,,,,,,,,
Station no,5681,,,,,,,,,
Midas,14743,,,,,,,,,
Hyd Stn,811508,,,,,,,,,
