DALTON HALL BURTON,,,,,,,,,,
Grid ref,SD536757,Long,-2.7123276,Lat,54.174978,Elevation,210,ft,,
Station no,RR7685,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,3.16,2.54,5.77,,,5.86
February,,,,,2.94,3.43,,,,8.33
March,,,,,4.13,2.18,,,,1.24
April,,,,,1.97,1.47,,,,3.35
May,,,,,3.22,5.25,,,,1.98
June,,,,,5.61,0.73,4.6,,,1.92
July,,,,,3.22,2.7,4.95,,,1.14
August,,,,,3.04,6.26,5.23,,,2.57
September,,,,,5.12,1.5,10.51,,,9.24
October,,,,,3.5,5.43,3.2,,,3.84
November,,,,,4.38,3.44,5.65,,,7.1
December,,,,,4.94,2.44,6.9,,,3.59
Total,,,,,45.23,37.37,,,,50.16
