BLETCHLEY (GRAMMAR SCHOOL),,,,,,,,,,,,
Grid ref,SP867336,Long,-0.738671,Lat,51.994090,,,,,,,
Station no,1020/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,3.52,3.19,,
February,,,,,,,,2.38,,2.19,,
March,,,,,,,,1.62,2.27,1.18,,
April,,,,,,,,0.97,2.21,0.50,,
May,,,,,,,,1.95,0.74,1.69,,
June,,,,,,,,4.75,1.37,2.38,,
July,,,,,,,,1.99,1.99,3.36,,
August,,,,,,,,2.54,0.82,3.52,,
September,,,,,,,,2.22,0.11,3.49,,
October,,,,,,,,2.41,1.99,4.59,,
November,,,,,,,,1.79,2.05,3.37,,
December,,,,,,,,2.70,3.92,3.59,,
Total,,,,,,,,,20.99,33.05,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.32,20.99,33.05,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,,
