LOCHEARNHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 58597 23589,Long,-4.291727,Lat,56.383369,Elevation,460,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,,4.15,3,12.25,11.1,9.25,10.2,6.45,10.45,4.8,1,,0.6,6.8,13.28,9.35,,,,,
February,,,,,,,,,,,7.1,7.35,13,1.25,3.25,2.05,5.55,6,3.3,3.3,,4.88,7,14.7,11.1,,,,,
March,,,,,,,,,,,0.9,6.8,4,2.95,7.85,4,7.3,4.5,2.75,6.55,,2.42,7.15,4.2,6.3,,,,,
April,,,,,,,,,,,2.8,5.4,2.9,1.8,5,2.1,4,5.4,5.2,2.35,,2,2.45,4.75,2.6,,,,,
May,,,,,,,,,,,5.8,1.5,3.82,3.9,1.95,3.9,0.8,2.9,6.5,1,,3.42,2.7,2.8,6.45,,,,,
June,,,,,,,,,,,0.75,2.7,7,3.2,2.3,3.3,5.1,8,3.5,6,,5,5.25,3.65,1.8,,,,,
July,,,,,,,,,,,2.65,5.72,5.85,7.7,5.95,2.05,3.3,4.9,0.35,5.8,,4.8,6.85,3.9,6.45,,,,,
August,,,,,,,,,,,0.7,4.7,6.85,5.5,7,5.15,3.25,7,6.65,6.9,,5.05,3.15,4.9,3.2,,,,,
September,,,,,,,,,,,6.65,2.18,9.1,4.25,8.22,5.1,3.5,3,7.25,6,,3.95,4.65,4.55,4.15,,,,,
October,,,,,,,,,,,9.95,7.82,7.3,8.35,13.95,11.2,9.25,11.2,8.35,3.5,,7.45,7.7,9.4,7.1,,,,,
November,,,,,,,,,,,3.75,3.88,12.9,5.8,5.45,5.1,4.4,10.45,2.8,2.68,,13.3,9,10.8,8.75,,,,,
December,,,,,,,,,,,5.3,10.95,10.8,9.15,3.85,9.3,11.9,8,2.32,4.15,,9.07,7.85,7.4,9.2,,,,,
Total,,,,,,,66.95,57.08,81.15,61.35,50.5,62,95.77,64.95,74.02,63.45,64.8,81.8,53.77,49.23,,61.94,70.55,84.33,76.45,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
