MARPLE AQUEDUCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ955900,Long,-2.069155,Lat,53.406797,Elevation,321,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,2.62,3.65,2.39,,0.7,1.63,0.14,1.16,1.45,2.3,0.31,2.2,4.62,1.37,2.48,3.4,3.15,2.67,2.88,2.86,0.3,4,3,3.3,2.76,1.94,6.52,3.12,1.31,0.86,0.29,2.56,4.45,4.22,1.83,5.33,1.74,1.55,1.51,3.41,2.13,2.85,1.54,2.68,2.5,1.37,1.13,2.04,3.91,4.06,1.65,2.41,2.37,3.28,2.21,3.62,1.24,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,1.25,4.04,0.91,0.88,0.3,2.18,0.22,0.14,2.02,0.69,1.99,0.8,0.91,3.23,2.52,2.95,2.86,1.89,3.78,0.88,1.4,2.3,0.28,1.31,0.8,3.33,4.37,0.87,2.79,2.74,5.3,2.99,2.06,2.03,2.38,0.6,0.72,1.27,2,0.5,0.47,2.35,3.75,4.07,0.35,2.08,2.42,2.56,0.92,2.8,1.4,0.88,2.39,2.98,1.88,3.08,1.94,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,2.75,0.3,1.6,1.02,1.21,0.06,0.32,1.54,3.73,5.34,6.39,3.93,0.81,1.74,1.83,1.85,1.08,3.57,1.2,2.13,1.61,3.36,2.31,3.14,0.47,3.57,2.55,1.14,1.21,2.5,3.98,2.18,1,2.1,2,2.4,1.27,2.04,3.34,3.43,1.93,1.04,0.55,2.75,3.2,4.74,2.78,1.44,1.75,0.94,2.41,1.86,3.86,1.89,4.05,2.65,2.7,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,1.19,0.44,1.62,0.59,1.29,1.92,1.84,1.21,2.61,1.18,1.48,2.85,1.65,1.15,1.43,0.59,4.53,1.88,2,1.78,3.56,3.16,0.41,1.3,0.83,2.7,1.7,2.17,1.58,1.99,1.07,2.73,1.89,1.27,1.3,1.93,1.05,1.91,2.05,0.64,2.08,1.38,0.59,1.65,1.88,1.81,2.87,2.35,3.17,2.58,2.12,2.04,1.58,2.06,2.49,2.36,1.55,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,1.87,1.13,1.68,2.43,1.4,2.73,1.23,2.01,0.19,4.52,1.1,4.75,1.7,2.72,2.97,1.51,2.08,1.42,3.41,1.14,1.83,2.85,1.68,1.29,2.01,2.2,2.06,3.22,2.21,2.12,3.06,1.78,1.14,1.75,1.89,5.03,2.04,0.8,2.06,2.45,3.63,3.82,2.52,2.38,0.98,0.53,2.2,3.55,2.46,1.58,0.64,3.28,2.48,3.15,0.94,2.89,3.8,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,3.62,4.22,4.86,2,2.92,1.93,1.92,2.4,1.75,6.3,3.01,3.71,4.18,2.65,0.76,4.52,1.67,0.28,1.31,1.21,4.36,4.7,1.71,0.91,2.81,4.49,1.51,2.92,3.67,2.63,1.88,7.58,3.81,1.48,3.17,1.4,0.64,2.24,0.41,3.17,2.65,3.51,1.85,3.63,2.25,3.06,2.93,2.43,1.89,3.93,1.31,1.2,0.98,1.11,2.49,1.52,4.96,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,3.1,2.71,2.83,1.56,3.61,2.47,3.43,1.97,0.96,2.39,4.22,4.77,2.12,1.71,3.62,3.52,4.99,0.27,1.34,2.12,3.61,6.52,4.73,1.51,3.93,2.52,4.23,0.66,3.88,6.43,4,5.4,2.72,3.4,1.46,3.58,0.89,5.51,2.77,3.23,3.31,2.87,3.36,2.37,5.46,1.44,2.57,0.71,1.44,2.62,2.54,1.47,2.69,1.25,1.74,2.13,3.54,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,2.86,3.58,2.84,2.85,3.21,2.77,4.98,2.64,5.17,5.59,2.45,3.27,5.56,2.13,3.11,4.47,2.27,2.85,2.21,1.98,1.14,2.6,3.1,3.72,2.31,3.47,4.55,4.63,5.37,2.19,4.82,3.69,3,2.34,1.6,1.77,2.19,3.58,5.57,4.45,5.97,3.99,2.12,4.06,3.53,2.61,3.24,5.68,1.77,4.42,1.67,3.06,2.34,4.25,3.99,2.53,3.91,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,1.72,1.78,2.64,2.25,1.44,2.33,2.39,2.08,3.63,2.51,4.62,4.93,5.54,4.5,0.49,4.9,2.29,1.66,6.91,2.44,3.4,6.28,2.06,5.43,3.77,5.71,2.14,4.94,2.47,4.86,2.67,2.13,4.79,2.77,3.84,2.71,2.87,1.57,2.76,0.78,3.19,3.09,4.04,0.93,0.89,5.34,4.19,0.5,4.85,1.09,0.74,0.76,4.12,1.22,2.18,1.3,0.53,4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,2.75,2.69,2.58,2.2,5.51,2.2,1.39,3.15,2.65,4.76,1.4,4.92,6.21,2.05,5.53,2.35,3.78,4.08,3.17,7.81,2.05,5.44,2.92,7.88,3.47,2.53,3.89,2.43,3.48,2.6,2.62,3.76,4.97,2.21,5.36,5.17,2.04,1.66,2.77,2.38,4.99,5.32,2.5,3.44,3.06,4.24,1.68,3.25,2.88,3.52,2.98,3.7,7.24,1.13,2.75,5.22,3.19,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
