"SLAIDBURN (SADDLE HILL)",,,,,,,,,,,,
Grid ref,SD690579,Long,-2.474586,Lat,54.016170,,,,,,,
Station no,3088,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.06,7.62,3.49,6.81,4.61,8.33,,,,,,
February,7.28,1.60,3.64,4.45,2.33,2.01,,,,,,
March,8.16,5.00,1.72,4.12,1.90,3.32,,,,,,
April,3.74,4.28,3.68,1.77,3.79,2.67,,,,,,
May,0.48,2.30,3.24,4.23,5.98,3.95,,,,,,
June,2.30,6.44,3.80,5.57,4.79,3.25,,,,,,
July,5.52,5.43,10.70,9.76,1.58,6.90,,,,,,
August,5.52,11.64,8.97,7.80,0.84,17.09,,,,,,
September,5.82,7.42,9.96,10.15,5.45,4.94,,,,,,
October,3.22,5.46,1.83,14.76,4.95,4.97,,,,,,
November,12.51,3.62,10.61,10.17,3.92,3.25,,,,,,
December,18.28,6.21,4.05,12.65,11.34,10.63,,,,,,
Total,77.89,67.02,65.69,92.24,51.48,71.31,,,,,,
Calc annual,77.89,67.02,65.69,92.24,51.48,71.31,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,NaN,NaN,NaN,NaN,,
