SLAIDBURN (SADDLE HILL),,,,,,,,,,,,,,,,,,,,,
Grid ref,SD690578,Long,-2.4745758,Lat,54.015272,Elevation,1475,ft,,,,,,,,,,,,,
Station no,3088,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,3.75,8,4.85,3.6,6.04,4.59,12.08,4.04,6.6,7,6.5,3.3,5.5,2.3,3.9,,,,
February,,,6.9,7,1.53,6.75,8.8,3.07,8,1,0.35,7.35,0.25,4.5,0.5,8,1.8,,,,
March,,,3.25,2.2,1.59,2.01,4.01,4.04,3.15,1.5,2.4,0.65,4.3,3,2,2.5,2.9,,,,
April,,,3.4,4.3,2.5,3.6,3,4.54,1.02,2.2,2.5,5.5,5.5,2.2,2.3,4.4,0.95,,,,
May,,,2,5.4,7.52,4.04,3.6,2,0.7,3.15,2.2,4.25,5.3,2.2,4.2,1.4,1.3,,,,
June,,,3.8,1.85,4.15,0.2,3.5,4.53,4.04,1.95,2,7.5,1.5,3.3,2.8,4.65,3.7,,,,
July,,,7.25,7.1,7.02,2.02,4.53,4.53,3.05,6.8,5,5.1,6.5,6.2,2.2,2.57,6.3,,,,
August,,,6.25,8.4,8.1,6.03,4.58,8.27,6.05,7.9,8.5,5,2.3,3,7.5,2.01,3.35,,,,
September,,,6.2,7.45,7.1,4.75,6.05,9.05,2.02,3.3,7.5,4.2,9,2.3,3.3,11.8,6.6,,,,
October,,,1.4,10.35,7.75,7.3,6.07,7.5,8.05,7.2,6.5,2.3,8.5,5.5,7.5,10.5,4.8,,,,
November,,,3.03,7.8,5.51,1.65,7.51,4.54,9.03,8.25,6.5,9.6,3.2,2.7,2.5,5.5,7.35,,,,
December,,,7,7.3,8.51,5.7,1.59,3.01,4.5,10.5,4.5,6,3,0.8,8,3.06,6.2,,,,
Total,,,54.23,77.15,66.13,47.65,59.28,59.67,61.69,57.79,54.55,64.45,55.85,39,48.3,58.69,49.15,,,,
