SLAIDBURN (SADDLE HILL) 16E,,,,,,,,,,
Grid ref,SD691578,Long,-2.47305,Lat,54.015278,Elevation,1415,ft,,
Station no,3088/1/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,8.16,,,,
February,,,,,,2.2,,,,
March,,,,,,4.15,,,,
April,,,,,,2.77,,,,
May,,,,,,4.79,,,,
June,,,,,,3.58,,,,
July,,,,,,7.44,,,,
August,,,,,,18.3,,,,
September,,,,,,5.13,,,,
October,,,,,,6.11,,,,
November,,,,,,3.83,,,,
December,,,,,,9.45,,,,
Total,,,,,,75.91,,,,
,,,,,,,,,,
TYRain_1951-1960_18_pt1-page-219.csv,,,,,,,,,,
