SLAIDBURN (SADDLE HILL) 16D,,,,,,,,,,
Grid ref,SD691578,Long,-2.47305,Lat,54.015278,Elevation,1410,ft,,
Station no,3088/1/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,8.86,10.98,7.42,,
February,,,,,,2.39,6.53,12.19,,
March,,,,,,4.29,7.7,2.42,,
April,,,,,,2.78,1.49,2.62,,
May,,,,,,4.96,3.6,7.52,,
June,,,,,,3.62,2.72,4.62,,
July,,,,,,7.33,9.15,5.22,,
August,,,,,,18.07,8.41,8.92,,
September,,,,,,5.2,10.44,8.22,,
October,,,,,,5.75,11.86,7.69,,
November,,,,,,3.81,3.37,2.79,,
December,,,,,,9.49,9.67,6.66,,
Total,,,,,,76.55,85.92,76.29,,
,,,,,,,,,,
1956 crossed out on record but transcribed therefore removed,,,,,,,,,,
"Noted as ""look quite wrong - ignore"" on record",,,,,,,,,,
ERROR_TYRain_1951-1960_18_pt1-page-218.csv,,,,,,,,,,
