SLAIDBURN (SADDLE HILL) - new gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD690579,Long,-2.474586,Lat,54.01617,Elevation,1400,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3088/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,6.4,10,6.27,3.74,1.14,,9.53,11.4,6.9,7.56,6.44,12.93,5.56,6.44,5.06,7.62,3.49,6.81,4.61,8.33,,,,
February,,,,,,,9.55,3.75,6.24,1.82,7.2,,4.6,3.32,6.96,7.34,,5.52,5.56,9.14,7.28,1.6,3.64,4.45,2.33,2.01,,,,
March,,,,,,,2,2.12,4.98,6,3.36,3.77,2.62,1.64,3.12,1.76,,4.6,2.76,5.46,8.16,5,1.72,4.12,1.9,3.32,,,,
April,,,,,,,3.1,1.52,2.7,3.54,2,3.42,4.56,3.43,4.15,2.31,5.14,3.19,9.2,5.06,3.74,4.28,3.68,1.77,3.79,2.67,,,,
May,,,,,,,2.85,4.19,1.27,1.75,3.46,5.47,3.73,5.18,4.95,2,,3.14,3.54,3.62,0.48,2.3,3.24,4.23,5.98,3.95,,,,
June,,,,,,,3.88,7.28,4.25,0.91,1.59,1.92,6.71,7.36,6.77,5.49,4.57,7.66,1.05,5.62,2.3,6.44,3.8,5.57,4.79,3.25,,,,
July,,,,,,,3.44,6.47,9.15,6.5,2.32,8.32,5.16,4.62,4.98,6.44,5.42,4.68,5.4,7.29,5.52,5.43,10.7,9.76,1.58,6.9,,,,
August,,,,,,,3.14,5.95,2.78,3.25,10.8,6.65,12.31,4.31,4.3,11.72,0,6.44,3.4,11.5,5.52,11.64,8.97,7.8,0.84,17.09,,,,
September,,,,,,,4.18,3.34,2.62,8.63,1.2,5.91,6.31,10.27,7.15,9.7,6.72,7.28,3.34,14.76,5.82,7.42,9.96,10.15,5.45,4.94,,,,
October,,,,,,,2.82,13.51,2.45,6.8,9.76,7.9,5.72,9.7,9.64,1.68,1.76,5.22,7.82,5.06,3.22,5.46,1.83,14.76,4.95,4.97,,,,
November,,,,,,,1.67,8.16,11.97,8.3,3.74,1.96,5.63,13.92,0.85,11.97,,5.06,9.16,10.12,12.51,3.62,10.61,10.17,3.92,3.25,,,,
December,,,,,,,3.2,5.9,3.1,7.38,4.91,7.25,3.91,7.5,3.26,7.19,5.72,6.44,9.2,4.6,18.28,6.21,4.05,12.65,11.34,10.63,,,,
Total,,,,,,,46.23,72.19,57.78,58.62,51.48,,70.79,82.65,63.03,75.16,,72.16,65.99,88.67,77.89,67.02,65.69,92.24,51.48,71.31,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1942 Jan 8.45, Feb 2.19 and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1947 Feb 1.87, Mar 7.53, May 3,Nov 12.64 and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1938 total fixed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
