NEWTON-ST-CYRES-VICARAGE,,,,,,,,,,,,,,,,,,,,
Grid ref,SX879979,Long,-3.59109,Lat,50.77033,Elevation,145,ft,,,,,,,,,,,,
Station no,RR7433,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,3.68,1.42,5.75,1.09,1.09,1.86,5.01,0.92,,,,,,,,
February,,,,,6.34,1.43,3.57,0.99,1.82,0.51,4.3,1.41,,,,,,,,
March,,,,,2.35,3.57,1.56,0.84,3.63,6.52,0.73,2.53,,,,,,,,
April,,,,,0.86,3.2,0.95,5.78,2.89,2.51,3.05,2,,,,,,,,
May,,,,,2.11,0.25,2.19,3.2,2.02,1.39,3.18,0.81,,,,,,,,
June,,,,,0.6,1.78,1.17,2.34,0.93,2.88,2.21,,,,,,,,,
July,,,,,4.69,0.23,0.67,1.44,1.39,2.48,2.77,,,,,,,,,
August,,,,,2.26,3.96,1.31,2.14,3.06,2.11,4.24,,,,,,,,,
September,,,,,1.67,0.93,0.8,0.76,2.21,1.59,0.25,,,,,,,,,
October,,,,,1.51,1.58,3.65,7.12,2.58,4.68,6.31,,,,,,,,,
November,,,,,2.08,3.91,3.21,3.12,1.35,0.81,5.33,,,,,,,,,
December,,,,,3.07,1.06,2.46,4.65,3.88,5.79,6.64,,,,,,,,,
Total,,,,,31.22,23.32,27.29,33.47,26.85,33.13,44.02,,,,,,,,,
