"SUTTON COLDFIELD (GABLES)",,,,,,,,,,,,
Grid ref,SP116965,Long,-1.830298,Lat,52.566207,,,,,,,
Station no,2489/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,5.93,,
February,,,,,,,,,,2.09,,
March,,,,,,,,,,1.83,,
April,,,,,,,,,,0.88,,
May,,,,,,,,,,1.06,,
June,,,,,,,,,,2.67,,
July,,,,,,,,,,3.15,,
August,,,,,,,,,,3.96,,
September,,,,,,,,,,5.63,,
October,,,,,,,,,,5.42,,
November,,,,,,,,,,2.83,,
December,,,,,,,,,,3.60,,
Total,,,,,,,,,,39.05,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.05,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,,
