"WINTERBURN BROWN HILL",,,,,,,,,,,,
Grid ref,SD946601,Long,-2.083942,Lat,54.036851,,,,,,,
Station no,3311,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.13,1.81,2.44,5.12,4.12,2.55,5.62,2.12,4.37,2.14,,
February,2.48,1.90,1.42,5.16,2.79,2.58,3.46,2.72,3.33,2.28,,
March,0.39,2.80,2.67,7.40,2.49,3.60,3.52,4.11,3.77,2.63,,
April,2.75,2.45,1.82,2.69,3.64,3.70,1.25,2.61,2.74,4.05,,
May,1.81,1.22,2.50,2.73,3.45,0.57,5.19,4.09,3.25,2.68,,
June,3.87,1.65,1.17,1.92,1.59,2.82,2.29,6.99,1.67,3.06,,
July,3.08,1.31,3.82,4.56,2.44,1.61,1.87,2.98,5.88,6.05,,
August,5.91,3.57,2.65,5.17,4.15,3.89,4.74,4.54,3.79,3.94,,
September,1.62,1.85,1.81,5.08,1.09,3.53,1.45,0.92,4.81,3.39,,
October,7.02,2.71,3.90,10.46,1.84,3.37,8.23,4.78,3.07,5.06,,
November,5.36,5.03,2.45,3.23,3.45,4.40,5.24,3.78,3.43,2.35,,
December,5.50,4.84,3.58,2.74,3.45,1.48,3.42,6.20,3.25,5.88,,
Total,44.92,31.14,30.23,56.26,34.50,34.10,46.28,45.84,43.36,43.51,,
Calc annual,44.92,31.14,30.23,56.26,34.50,34.10,46.28,45.84,43.36,43.51,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,,
