WINTERBURN BROWN HILL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD934618,Long,-2.102302,Lat,54.052116,Elevation,961,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,
January,,,,,,,,2.29,2.16,2.24,6.16,3.11,3.01,1.4,5.08,1.84,3.22,1.1,4.07,7.74,5.13,1.81,2.44,5.12,4.12,2.55,5.62,2.12,4.37,2.14,6.36,1.56,3.99,4.33,4.29,6.87,5.93,2.41,4.18,4.54,5.16,8.85,4.01,4.83,3.69,4.82,5.56,5.44,9.96,2.6,7.28,4.34,6.03,3.48,4.81,1.63,3.5,3.3,6.68,5.37,0.85,1.23,3.71,5.96,5.26,2.88,3.72,5,8.48,2,2.87,4.22,3.34,1.13,3.52,2.24,3.6,4.54,4.5,3.85,5.33,,,,,,,,,,,,,,,,,,,
February,,,,,,,,1.63,0.41,1.92,0.6,0.56,1.91,5.69,7.37,0.64,2.3,3.89,4.01,2.79,2.48,1.9,1.42,5.16,2.79,2.58,3.46,2.72,3.33,2.28,5.06,6.09,2.3,2.43,3.42,5.04,5.29,1.07,7,1.57,4.1,0.44,4.98,6.21,1.06,6.02,5.53,2.14,5.81,0.88,0.56,5.29,0.25,4.15,0.34,5.54,2.1,6.06,1.83,4.1,2.35,3.5,1.6,3.15,1.62,5.43,4.21,4,3.47,3.61,6.44,2.82,1.15,1.7,4.3,1.69,1.4,3.6,,0.6,2.32,,,,,,,,,,,,,,,,,,,
March,,,,,,,,1.47,1.95,3.4,3.71,2.16,0.49,1.17,4.72,4.69,6.27,5.76,2.03,2.6,0.39,2.8,2.67,7.4,2.49,3.6,3.52,4.11,3.77,2.63,0.85,2.26,5.75,5.63,5.76,2,2.3,2.19,1.62,4.11,3.89,4.23,3.41,2.52,1.52,1.05,1.85,3.89,3.44,0.67,2.8,0.66,3.68,2.65,3.2,1.33,2.12,2.1,1.46,2.28,3.43,3.15,2.51,1.49,0.55,1.55,1.27,8,1.55,1.76,2.07,3.58,3.24,0.85,2.61,2.06,2,3.9,2.17,1.72,1.64,,,,,,,,,,,,,,,,,,,
April,,,,,,,2.81,1.66,2.07,2.3,1.45,1.81,2.1,0.71,1.96,2.66,2.42,2.48,2.97,4.52,2.75,2.45,1.82,2.69,3.64,3.7,1.25,2.61,2.74,4.05,2.92,2.44,1.4,4,1.26,2.2,3.17,2.04,0.91,2.38,5.02,1.38,2.48,3.69,1.68,3.53,1.5,4.74,1.07,1.72,3.02,3.86,4.64,2.68,3.22,3.5,1.1,2.92,0.83,1.78,2.19,1.6,1.86,2.53,3,3.49,1.45,4.05,2.49,4.64,3.18,3.53,2.57,2.3,1.07,2.09,2.2,0.54,1.73,3.3,2.33,,,,,,,,,,,,,,,,,,,
May,,,,,,,4.27,2.46,1.32,2.28,2.66,2.01,4.71,2.42,2.12,0.77,0.45,2.59,2.51,3.56,1.81,1.22,2.5,2.73,3.45,0.57,5.19,4.09,3.25,2.68,1.93,2.38,2.05,3.01,2.84,1.25,2.67,1.92,2.12,1.55,5.63,2.05,1.18,3.98,6.97,4.88,3.98,2.55,1.27,2.4,1.95,3.4,4.06,2.65,3.64,0.87,0.92,2.9,2.85,0.8,1.1,1.92,3.11,3.02,2.15,4.38,1.5,3.41,2.04,2.23,2.02,2.23,2.1,2.16,3.39,3.85,2.25,1.94,6.62,0.64,1.8,,,,,,,,,,,,,,,,,,,
June,,,,,,,2,0.22,2.54,0.54,4.02,1.31,4.23,2.46,2.83,2.37,2.7,4.09,3.99,1.49,3.87,1.65,1.17,1.92,1.59,2.82,2.29,6.99,1.67,3.06,3.86,3.11,6.78,2.71,2.17,1.49,2.62,3.4,1.49,1.41,2.11,0.58,2.96,1.06,2.23,0.13,2.19,3.88,6.06,1.87,2.1,8.51,2.74,2.78,2.97,3.25,3.85,2.18,4.73,3.42,0.74,0.65,0.95,4.32,2.89,3.81,3.05,3.3,5.05,0.98,3.05,1.58,2.86,2.98,3.71,2.93,3.08,2.3,6.34,2.16,1.86,,,,,,,,,,,,,,,,,,,
July,,,,,,,4.5,1.82,5.63,3.96,3.93,5.29,2.57,3.88,4.13,6.12,3.48,1.88,1.16,2.36,3.08,1.31,3.82,4.56,2.44,1.61,1.87,2.98,5.88,6.05,3.78,0.88,5.49,1.29,4.03,4.66,4.4,1.95,7.25,2.62,8.41,3.14,6.06,5.25,5.44,2.23,3.99,7.44,2.53,3.85,4.72,4.88,7.81,4.6,3.28,1.67,4.59,2.96,4.48,7.35,5,1.6,4.27,2.63,4.11,2.52,4.54,3.38,1.02,4,4.19,2.98,2.09,5.78,5.25,0.89,5.33,3.92,3.82,2.81,8.13,,,,,,,,,,,,,,,,,,,
August,,,,,,,2.08,2.17,4.86,7.4,6.87,9.52,8.29,4.82,4.39,5.15,1.9,8.44,6.46,1.73,5.91,3.57,2.65,5.17,4.15,3.89,4.74,4.54,3.79,3.94,5.88,3.55,5.55,1.96,3.55,3.85,5.03,8.83,5.03,3.55,3.42,6.34,4.48,6.9,6.75,5.78,4.85,7.41,8.83,6.22,5.44,4.35,1.63,1.85,4.15,1.86,3.6,1.7,4.4,2.62,2.14,6.06,4.35,5.97,1.73,3.4,6.5,0.26,4.42,2.87,7,4.23,5.93,6.32,6.57,1.26,10.44,6.11,5.74,0.54,5.03,,,,,,,,,,,,,,,,,,,
September,,,,,,,4.27,6.72,1.68,2.19,3.3,3.66,4.05,4.62,0.31,2.23,7.25,5.16,1.29,6.48,1.62,1.85,1.81,5.08,1.09,3.53,1.45,0.92,4.81,3.39,0.46,4.25,2.65,1.84,2.41,0.94,2.96,3.2,11.31,2.4,2.53,2.95,5.13,5.39,5.18,3.68,3.74,6.44,1.1,1.89,3,2.81,5.9,2.01,3.03,7.36,5.27,2.38,1.55,1.4,5.9,0.56,2.86,4.41,7.15,3.35,6.85,3.13,4.26,1,6.1,3.5,3.69,3.53,6.06,2.5,4.27,6,5.15,0.32,2.88,,,,,,,,,,,,,,,,,,,
October,,,,,,,5.64,2.78,1.49,4.95,3.26,4.24,6.03,5.5,4.97,5.99,3.93,2.41,4.67,3.07,7.02,2.71,3.9,10.46,1.84,3.37,8.23,4.78,3.07,5.06,4.38,3.95,4.59,1.94,2.01,1.15,11.68,5.88,4.1,2.51,2.62,3.08,0.94,8.4,4.84,5.93,4.27,5.23,6.29,6.34,6.9,2.66,7.65,4.34,5.63,7.24,3.95,3.95,11.58,2.07,3.92,6.06,4.56,2.78,4.36,6.27,1.7,1.31,1.99,5.8,3.24,1.84,3.97,1.95,10.15,2.82,2.5,6.2,4.89,4.77,4.96,,,,,,,,,,,,,,,,,,,
