INVERMEARAN (NEW SITE),,,,,,,,,,,,
Grid ref,NN402419,Long,-4.600572,Lat,56.541843,,,,,,,
Station no,5557/2/4,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,7.58,4.45,8.79,,
February,,,,,,,,4.97,6.45,8.50,,
March,,,,,,,,3.24,9.40,3.41,,
April,,,,,,,,5.69,7.80,11.89,,
May,,,,,,,,7.72,3.85,4.95,,
June,,,,,,,,2.91,6.70,4.90,,
July,,,,,,,,4.24,6.80,5.65,,
August,,,,,,,,8.43,7.70,5.20,,
September,,,,,,,6.27,8.72,4.80,5.30,,
October,,,,,,,14.58,11.15,12.70,7.02,,
November,,,,,,,3.83,3.00,11.65,12.20,,
December,,,,,,,15.91,8.80,13.66,12.21,,
Total,,,,,,,,76.45,95.96,90.02,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,40.59,76.45,95.96,90.02,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,-0.00,-0.00,,
