CARSPHAIRN (LORG),,,,,,,,,,,,,,,,,,,,
Grid ref,NS668008,Long,-4.0980399,Lat,55.283924,Elevation,960,ft,,,,,,,,,,,,
Station no,5020/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,8.15,12.33,5.19,9.75,14.79,12.79,7.67,3.28,1.51,8.8,9.3,10.4,6.6,10.58,6.36,,,
February,,,6.43,0.56,9.75,5,9.43,5.54,12.17,5.34,5.48,3.88,8.53,2.91,11.1,6.53,,,,
March,,,4.65,4.11,3.79,5.8,3.26,6.9,9.28,8.56,7.15,5.18,3.99,1.89,7.11,4.19,,,,
April,,,3.62,5.42,6.29,1.96,4.24,1.6,4.79,4.87,3.59,3.82,7.73,5.2,4.23,3.03,12.25,,,
May,,,3.94,5.85,1.64,2.6,3.44,7.87,2.13,1.6,5.52,7.12,7.61,4.88,6.36,1.31,,,,
June,,2.68,1.43,2.11,7.53,3.2,6.62,9.38,5.08,2.11,2.82,2.3,7.73,6.29,8.46,6.1,,,,
July,,7.74,7.19,4.24,3.62,7.92,7.03,11.13,7.48,7.55,4.57,6.79,4.65,3.3,6.39,6.79,7.02,,,
August,,2.78,4.03,6.84,1.95,5.73,4.51,5.84,2.25,3.6,8.78,8.71,9.05,6.38,1.97,6.72,0.11,,,
September,,9.2,1.21,8.36,9.19,7.75,4.4,8.84,3.34,9.05,5.36,7.61,3.53,5.79,10.85,13.06,7.66,,,
October,,10.46,3.99,11.39,14.95,10.4,5.81,16.21,5.63,9.46,6.97,9.79,11.07,7.48,8.28,0.79,,,,
November,,5.9,1.93,1.91,9.01,9.31,2,15.65,15.24,10.03,6.84,2.1,4.74,11.59,1.57,9.9,6.86,,,
December,,13.71,3.31,12.43,6.74,11.22,5.7,7.76,4.02,11.52,6.35,10.59,4.41,15.39,9.55,9.41,,,,
Total,,,49.88,75.55,79.65,80.64,71.23,109.51,79.08,76.97,64.94,76.69,82.34,81.5,82.47,78.41,,,,
,,,,,,,,,,,,,,,,,,,,
"1947 Feb 1.2, Mar 6.0, May 5.5, June 5.0, Oct 3.0, Dec 4.0 and total estimated therefore removed",,,,,,,,,,,,,,,,,,,,
13271,CARSPHAIRN: LORG ,01/01/1932,31/12/1947,,,,,,,,,,,,,,,,,
