ARDDARROCH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS239950,Long,-4.833937,Lat,56.11518,Elevation,80,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,16.96,2.44,12.71,16.45,14.19,10.87,1.46,3.74,9.28,6.87,8.21,8.08,7.65,13.04,8.58,7.05,5.82,14,7.34,12.68,10.89,7.19,7.52,12.34,14.05,11.18,12.86,9.75,13.58,9.7,2,7.32,,,,,,,,,
February,,,,,,,,,,9.41,14.35,7.46,7.91,2.8,5.38,1.15,7.9,3.73,1.51,9.06,5.46,6.86,2.39,6.97,6.95,6.84,9.44,8.57,13.92,10.34,7.51,7.93,10.59,1.36,2.95,2.62,7.3,11.15,3.91,7.17,11.17,,,,,,,,,
March,,,,,,,,,5.39,3.97,3.54,7.53,1.5,1.65,3.61,5.83,0.45,6.51,4.1,11.23,8.41,12.48,5.42,5.84,7.9,3.91,6.04,4.42,11.09,2.74,2.3,6.67,6.58,3.57,9.78,3.51,11.78,6.14,6.3,6.87,5.25,,,,,,,,,
April,,,,,,,,,3.76,5.38,7.19,2.42,0.4,3.67,1.45,4.94,4.6,5.53,6.66,5.6,2.86,0.59,7.31,6.95,3.55,1.74,5.02,9.82,6.03,2.14,3.06,6.56,3.51,0.94,6.23,3.66,3.75,5.99,2.8,3.26,6.26,,,,,,,,,
May,,,,,,,,,2.76,5.1,3.68,1.73,4.37,0,4.58,3.43,4.73,3.37,6.91,0.59,6.03,1.53,5.77,4.53,1.89,4.35,2.5,3.56,5.79,0.57,6.13,2.02,3.94,4.19,2.78,5.3,0.96,3.3,5.91,3.23,2.78,,,,,,,,,
June,,,,,,,,,5.16,2.65,3.49,5.78,4.93,3.68,4.65,3.88,7.74,2.77,4.38,2.38,6.66,5.68,6.86,4.91,5.47,1.35,2.03,3.38,3.53,2.4,3.07,1.86,9.18,4.36,1.84,5.21,6.01,8.27,4.85,4.99,4.77,,,,,,,,,
July,,,,,,,,,7.17,7.57,5.2,6.38,5.18,7.73,4.29,2.89,3.72,3.39,6.77,3.75,3.04,5.15,8.7,0.33,4.81,4.5,3.16,4.47,1.38,2.6,3.14,6.23,6.26,8.69,4.7,2.26,4.76,6.99,1.05,7.06,4.02,,,,,,,,,
August,,,,,,,,,4.13,6.39,6.96,6.01,4.46,3.81,4.59,6.96,4.56,2.46,6.43,6.04,6.88,13.37,5.4,6.06,2.98,6.86,10.27,5.47,8.27,0.97,1.32,5.86,8.55,7.07,6.78,6.73,7.38,7.76,7.95,7.59,2.73,,,,,,,,,
September,,,,,,,,,3.32,2.47,3.67,1.16,1.78,5.72,4.05,2.7,3.94,4.56,6.83,10.04,4.52,9.24,2.89,9.56,11.22,2.63,10.1,5.51,4.55,11.79,6.06,2.38,10.82,5.77,11.22,6.03,3.42,3.41,9.59,10.92,3.25,,,,,,,,,
October,,,,,,,,,6.98,5.67,7.06,7.23,2.59,9.26,9.18,8.85,5.28,4.46,8.77,4.99,10.48,8.33,14.4,7.58,4.31,9.12,4.81,8.89,9.87,3.49,10.38,8.5,9.53,11.48,14.03,10.43,9.5,14.1,10.39,4.86,0.86,,,,,,,,,
November,,,,,,,,,9.97,11.22,10.91,1.67,11,8.17,4.05,0.86,2.73,2.34,1.75,7.47,5.42,9.62,5.21,6.47,8.59,5.61,9,2.58,8.01,9.7,3.16,6.45,12.89,6.92,9.79,7.36,5.32,14.36,2.78,2.31,7.73,,,,,,,,,
December,,,,,,,,,10.28,4.83,9.38,5.8,19.89,1.17,9.86,4.49,8.24,12.03,10.8,6.19,5.09,6.4,7.74,10.85,5.88,8.06,12.98,6.49,13.91,11.72,5.83,9.42,12.34,8.06,2.94,9.28,12.85,12.91,4.28,5.24,8.01,,,,,,,,,
Total,,,,,,,,,,81.62,77.87,65.88,80.46,61.85,66.56,47.44,57.63,60.43,71.78,75.55,72.93,86.9,85.13,78.63,70.6,60.79,89.35,70.5,99.03,69.35,59.15,71.4,106.53,76.46,84.22,75.25,82.78,107.96,69.51,65.5,64.15,,,,,,,,,
