"GARELOCHHEAD (ARDDARROCH GDNS)",,,,,,,,,,,,
Grid ref,NS239950,Long,-4.833937,Lat,56.115180,,,,,,,
Station no,5323,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,8.78,8.67,5.04,9.24,4.91,7.18,11.98,9.79,3.19,5.39,,
February,5.57,2.92,4.09,7.64,4.66,2.72,5.38,3.01,2.91,8.67,,
March,5.94,6.13,2.65,6.32,2.63,4.09,8.71,1.77,5.88,3.80,,
April,4.89,3.28,4.01,4.41,5.71,1.65,3.10,2.54,6.12,6.34,,
May,2.06,1.91,3.92,4.69,5.34,4.97,2.90,5.58,2.27,3.58,,
June,2.34,3.69,1.97,4.12,4.36,5.18,2.79,3.42,4.07,4.42,,
July,4.37,3.43,7.89,5.12,1.36,5.95,7.82,6.01,8.52,6.86,,
August,6.72,6.01,6.86,5.87,1.41,7.56,5.83,7.78,2.12,4.49,,
September,4.81,4.96,9.59,11.45,7.98,7.33,3.93,6.02,2.47,3.80,,
October,1.78,9.47,5.22,13.06,7.24,4.91,6.98,5.44,7.60,5.07,,
November,13.17,3.47,13.89,14.14,3.37,3.65,2.24,2.79,8.41,8.43,,
December,13.37,8.52,7.69,14.48,13.78,12.09,10.85,9.88,16.14,9.21,,
Total,73.80,62.46,72.82,100.54,62.75,67.28,72.51,64.03,69.70,70.06,,
Calc annual,73.80,62.46,72.82,100.54,62.75,67.28,72.51,64.03,69.70,70.06,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
