WOOKEY,,,,,,,,,,
Grid ref,ST527459,Long,-2.678512,Lat,51.210335,Elevation,100,ft,,
Station no,2018,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,4.69,2.99,2.51,3.25,3.46
February,,,,,,0.25,4.37,3.6,0.24,2.1
March,,,,,,1.15,2.41,1.02,3.48,2.34
April,,,,,,1.17,0.06,0.97,2.33,2.09
May,,,,,,0.57,2.53,2.55,1.65,1.02
June,,,,,,1.78,2.52,3.75,1.78,2.36
July,,,,,,2.19,4.76,2.84,2.46,4.33
August,,,,,,3.18,3.77,4.41,0.83,5.66
September,,,,,,4.32,3.81,3.87,0.33,3.21
October,,,,,,2.96,3,2.93,3.01,6.91
November,,,,,,0.72,2.33,2.97,4.38,3.71
December,,,,,,2.94,3.3,4.07,6.21,3.58
Total,,,,,,25.92,35.85,35.49,29.95,40.77
,,,,,,,,,,
Note says this Stn No should not have been used It was used for Wookey Vicarage,,,,,,,,,,
Unknown where pumping station was so using NGR from sheet,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Wookey P Sta SRC_ID 9364,,,,,,,,,,
1956-1977,,,,,,,,,,
