DENSHAW READY CON DEAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD989121,Long,-2.0175,Lat,53.6062,Elevation,1414,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,5.27,3.93,4.01,4.41,4.37,2.02,5.14,1.74,4.09,2.84,4.87,1.68,3.71,3.58,3.76,6.45,4.27,3.3,2.9,5.05,4.26,7.22,3.69,,,,,,,,
February,4.04,2.02,1.49,4.59,3.79,1.9,3.56,2.33,3.38,2.9,4.39,4.96,2.3,1.36,3.01,3.71,4.99,1.07,6.28,1.26,4.19,0.46,4.33,,,,,,,,
March,1.08,3.77,2.5,5.18,2.44,4.08,3.67,3.42,3.14,3.13,0.85,2.1,5.45,4.79,5.35,1.79,3.17,2.68,2.18,5.34,3.35,3.7,2.91,,,,,,,,
April,2.97,2.7,2.06,2.32,3.11,3.31,2.01,2.86,2.16,4.35,3.66,2.92,1.37,4.98,1.69,1.79,2.87,2.09,1.73,2.05,5.53,1.74,2.83,,,,,,,,
May,1.6,2.07,3.23,4.12,3.92,0.69,3.95,4.52,2.64,2.28,2.74,1.48,4.99,3.14,2.77,2.19,2.92,2.13,2.79,2.14,7.13,2.64,1.66,,,,,,,,
June,6.05,2.48,1.48,1.97,1.05,2.98,2.13,8.13,2.54,2.82,4.17,3.37,5.9,2.92,3.46,0.92,3.26,2.83,1.41,2.12,3.19,0.43,3.22,,,,,,,,
July,3.36,3.68,2.81,4.6,1.43,2.81,2.79,3.2,6.14,6.79,4.64,0.42,5.63,1.51,5.29,5.66,2.9,2.26,4.96,2.73,10.7,2.03,5.73,,,,,,,,
August,6.9,2.93,4.32,6.4,5.34,5.21,4.47,4.43,4.42,3.64,5.68,2.93,8.58,2.92,3.39,6.03,3.71,8.44,3.82,4.03,2.8,6.96,6.63,,,,,,,,
September,2.04,1.48,2.55,6.65,1.87,3.77,1.58,0.95,4.84,3.34,0.25,3.35,1.93,2.07,3.11,0.96,3.06,2.66,13.71,2.25,2.75,1.52,3.9,,,,,,,,
October,5.97,4.74,6.25,9.71,2.45,3.86,8.56,7.28,1.95,6.23,4.11,3.25,4.58,3.04,2.83,1.92,8.16,7.35,3.81,3.5,1.92,3.31,1.26,,,,,,,,
November,3.84,9.52,2.07,3.92,4.2,5.4,4.86,3.33,2.84,1.66,4.33,4.28,3.11,5.58,5.53,1.67,3.63,4.1,2.15,3.48,2.38,2.58,3.08,,,,,,,,
December,5.97,4.83,3.41,2.49,3.75,1.11,3.43,4.51,3.16,7.56,4.88,5.74,5.32,2.83,6.37,7.56,3.38,2.18,8.57,6.41,4.12,7.16,3.7,,,,,,,,
Total,49.09,44.15,36.18,56.36,37.72,37.14,46.15,46.7,41.3,47.54,44.57,36.48,52.87,38.72,46.56,40.65,46.32,41.09,54.31,40.36,52.32,39.75,42.94,,,,,,,,
