"DENSHAW, READYCON DEAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD989121,Long,-2.0175,Lat,53.6062,Elevation,1414,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,2.66,4.13,1.74,1.46,2.15,4.31,2.7,2.57,1,3.71,2.12,1.86,1.28,3.1,5.87,4.8,,,,,,,,,
February,,,,,,3.71,0.63,0.85,0.31,1.84,0.29,0.27,1.47,4.23,5.01,0.36,2.03,2.22,2.86,1.45,3.85,,,,,,,,,
March,,,,,,2.74,3.07,1.47,2.39,1.69,3.08,1.34,0.52,0.91,3.72,3.08,4.71,3.49,1.38,2.25,1.01,,,,,,,,,
April,,,,,,2.29,2.67,1.26,3.14,2.98,1.38,1.75,1.08,0.71,2.03,2.21,1.57,3.2,2.63,3.41,2.57,,,,,,,,,
May,,,,,,2.48,5.48,1.9,0.83,2.03,3.36,3.31,4.59,2.73,2.37,1.17,0.68,1.33,3.31,3.63,1.43,,,,,,,,,
June,,,,,1.13,3.68,1.98,0.53,3.02,0.5,3.52,1.81,3.43,2.62,3.52,4.06,3.07,3.62,3.61,1.69,5.64,,,,,,,,,
July,,,,,4.3,1.21,5.93,2.11,7.68,3.82,3.16,3.09,3.38,3.14,3.36,7.9,2.63,1.48,0.62,2.01,3.13,,,,,,,,,
August,,,,,2.24,1.18,2.35,1.39,4.35,6.7,6.02,9.39,4.36,2.4,3.9,4.44,2.74,4.64,5.55,2.19,5.93,,,,,,,,,
September,,,,,2.15,4.78,4.21,5.44,1.85,2.65,1.63,3.16,4.54,3.67,0.4,1.57,7.56,4.59,0.8,6.32,1.57,,,,,,,,,
October,,,,,3.15,7.22,6.52,3.29,1.9,5.28,3.04,6.63,7.32,3.69,5.18,3.89,4.93,2.35,5.29,4.12,5.63,,,,,,,,,
November,,,,,1.91,3.36,3.07,2.58,7.99,2.02,5.22,3.88,3.13,2.78,2.67,3.69,1.41,4.84,2.72,1.45,3.81,,,,,,,,,
December,,,,,5.25,1.76,4.98,2.41,3,2.24,0.33,7.32,1.77,3.34,3.66,4.43,5.43,5.13,4.69,2.39,5.89,,,,,,,,,
Total,,,,,,37.07,45.02,24.97,37.92,33.9,35.34,44.65,38.16,31.22,39.53,38.92,38.62,38.17,36.56,36.78,45.26,,,,,,,,,
