"KILBARCHAN (GLENTYAN)",,,,,,,,,,,,
Grid ref,NS395631,Long,-4.564304,Lat,55.834356,,,,,,,
Station no,5291,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,7.28,7.55,3.40,7.32,3.93,4.48,8.23,7.03,2.02,4.70,,
February,3.99,2.70,3.09,5.30,4.26,1.87,3.35,4.30,2.80,5.89,,
March,5.14,4.65,1.48,3.64,1.98,3.61,6.10,1.39,2.54,2.15,,
April,3.83,2.91,2.43,2.60,4.43,1.97,3.48,1.83,3.45,6.12,,
May,2.14,1.89,2.69,3.44,4.38,3.66,2.93,4.36,0.99,2.51,,
June,2.94,3.99,2.32,4.74,3.58,2.99,3.02,3.19,3.54,3.26,,
July,5.01,2.48,7.10,3.19,1.86,4.37,5.63,6.20,6.14,4.68,,
August,6.32,4.97,4.18,6.75,1.18,6.29,6.73,7.55,1.20,4.04,,
September,4.25,4.33,7.50,7.38,5.53,6.24,3.91,6.68,1.71,4.25,,
October,1.46,6.65,4.97,10.95,3.81,4.14,7.37,5.04,7.45,3.17,,
November,8.15,2.55,9.60,9.06,2.39,2.92,2.22,2.81,6.41,7.73,,
December,10.38,5.37,6.74,9.68,10.33,6.99,6.82,7.22,9.05,7.59,,
Total,60.89,50.04,55.50,74.05,47.66,49.53,59.79,57.60,47.30,56.09,,
Calc annual,60.89,50.04,55.50,74.05,47.66,49.53,59.79,57.60,47.30,56.09,,
Difference,-0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
