KILBARCHAN (GLENTYAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS395631,Long,-4.564304,Lat,55.834356,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,5.56,7.94,2.78,5.5,6.18,8.86,6.79,3.31,1.45,10.43,7.7,9.88,4.06,9.29,6.75,7.53,9.92,5.28,7.28,7.55,3.4,7.32,3.93,4.48,8.23,7.03,2.02,4.7
February,,,5.89,0.88,6.95,3.36,6.21,4.43,9.29,2.34,5.09,2.56,10.43,3.69,10.56,4.36,1.36,6.18,7.17,7,3.99,2.7,3.09,5.3,4.26,1.87,3.35,4.3,2.8,5.89
March,,,4.63,3.82,2.67,4.05,1.53,5.32,4.59,6.17,3.64,4.96,4.78,1.56,4.79,3.64,5.19,6.52,2.81,4.2,5.14,4.65,1.48,3.64,1.98,3.61,6.1,1.39,2.54,2.15
April,,,3.27,4.22,3.79,1.18,2.96,1.31,3.39,3.89,2.4,3.17,6.27,4.11,3.17,2.21,8.27,4.51,8.97,4.8,3.83,2.91,2.43,2.6,4.43,1.97,3.48,1.83,3.45,6.12
May,,,3.33,3.31,0.76,1.87,1.87,3.89,1.82,1.14,3.63,3.61,4.36,6.08,6.33,1.71,6.55,1.94,3.53,1.74,2.14,1.89,2.69,3.44,4.38,3.66,2.93,4.36,0.99,2.51
June,,,2.62,4.47,4.76,2.27,3.96,7.41,2.77,1.22,1.14,2.38,4.68,5.17,4.4,4.01,4.57,6.34,1.06,2.99,2.94,3.99,2.32,4.74,3.58,2.99,3.02,3.19,3.54,3.26
July,,,4.1,3.05,2.88,8.15,5.22,5.94,6.56,5.42,4.16,3.99,3.94,4.05,4.88,4.32,4.77,4.17,2.39,6.42,5.01,2.48,7.1,3.19,1.86,4.37,5.63,6.2,6.14,4.68
August,,,3.92,4.96,2.68,3.44,4.05,3.56,2.29,2.79,4.56,8.37,10,4.87,2.61,3.65,0.05,8.07,6.16,6.38,6.32,4.97,4.18,6.75,1.18,6.29,6.73,7.55,1.2,4.04
September,,,0.96,7.68,8.41,4.48,4.4,5.74,2.66,5.53,2.47,8.23,5.19,7.47,6.13,10.51,6.47,8.27,3.24,12.01,4.25,4.33,7.5,7.38,5.53,6.24,3.91,6.68,1.71,4.25
October,,,3.35,9.17,11.51,9.47,4.15,10.9,2.77,6.97,6.31,9.85,12.76,6.99,8.17,0.68,3.62,8.99,7.46,6.46,1.46,6.65,4.97,10.95,3.81,4.14,7.37,5.04,7.45,3.17
November,,,3.32,2.43,6.55,5.79,0.93,10.25,11.99,8.87,5.63,1.3,3.77,8.78,0.73,8.16,9.35,5.24,7.29,4.88,8.15,2.55,9.6,9.06,2.39,2.92,2.22,2.81,6.41,7.73
December,,,1.51,8.85,3.42,7.51,2.36,3.05,4.2,8.05,4.43,10.77,3.64,6.75,5.91,6.63,3.62,7.91,13.27,2.06,10.38,5.37,6.74,9.68,10.33,6.99,6.82,7.22,9.05,7.59
Total,,,42.46,60.78,57.16,57.07,43.82,70.66,59.12,55.7,44.91,69.62,77.52,69.4,61.74,59.17,60.57,75.67,73.27,64.22,60.89,50.04,55.5,74.05,47.66,49.53,59.79,57.6,47.3,56.09
