KILBARCHAN (GLENTYAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS395631,Long,-4.564304,Lat,55.834356,Elevation,285,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,4.85,4.78,4.98,4.11,8.74,3.04,6.97,5.11,6.96,9.92,5.51,5.95,6.23,6.39,7.79,7.14,10.97,2.47,7.15,4.78,,,,,,,,,
February,,,5.71,5.18,5.88,6.82,6.35,1.26,8.66,1.5,10.06,1.81,6.05,5.8,1.07,5.07,6.32,3.3,5.53,2.69,0.43,4.46,,,,,,,,,
March,,,6.41,6.9,6.52,3.02,2.01,2.82,2.06,4.88,5.92,8.71,2.55,2.84,1.13,2.97,5.68,4.39,5.1,1.31,4.21,1.48,,,,,,,,,
April,,,3.15,4.5,4.1,4.05,4.56,1.67,1.11,2.36,2.25,1.56,3.2,4.58,2.97,6.72,2.9,3.63,1.71,1.45,1.71,2.44,,,,,,,,,
May,,,1.93,3.89,2.58,1.48,5.63,4.21,2.48,0.89,7.07,3.04,5.57,1.87,5.4,8.27,3.25,2.68,2.04,3.85,2.43,4.87,,,,,,,,,
June,,,6.22,4.37,0.98,3.31,2.67,3.33,2.13,5.77,2.32,0.77,2.36,1.78,3.15,1.01,2.99,5.1,6.02,3.21,3.28,5.94,,,,,,,,,
July,,,2.79,1.3,2.27,4.75,3.41,1.95,3.52,1.66,4.81,5.69,4.05,5.22,4.48,2.15,4.08,5.95,4.08,4.74,3.72,5.38,,,,,,,,,
August,,,5.02,1.82,5.88,2.77,4.43,4.81,3.62,3.42,6.73,7.52,3.48,7.32,4.53,5.16,4.78,7.22,5.14,7.69,5.63,2.42,,,,,,,,,
September,,,3.02,2.55,2.71,1.47,2.23,4.87,7.15,5.67,3.59,2.78,3.38,9.16,6.01,3.83,4.5,7.77,4.95,1.63,4.32,1.78,,,,,,,,,
October,,,6.43,3.1,2.23,3.14,9.67,9.89,7.87,1.19,2.01,7.02,3.1,7.46,4.47,5.42,8.05,7.2,9.42,7.63,8.5,4.84,,,,,,,,,
November,,,5.31,8.56,8.25,2.52,6.15,11.62,5.85,5.14,6.48,3.91,4.02,5.46,5.68,1.1,7.47,6,7.69,8.18,6.52,6.12,,,,,,,,,
December,,,10.91,5.94,8.52,6.36,6.49,4.02,6.12,9.78,5.1,10.12,4.87,5.08,8.59,4.17,3.24,1.93,6.16,12.13,4.89,4.65,,,,,,,,,
Total,,,61.75,52.89,54.9,43.8,62.34,53.49,57.54,47.37,63.3,62.85,48.14,62.52,53.71,52.26,61.05,62.31,68.81,56.98,52.79,49.16,,,,,,,,,
