BOGNOR-REGIS-GREENWAYS-SCHOOL,,,,,,,,,,,,,,,,,,,,,
Grid ref,SZ922994,Long,-0.69340672,Lat,50.786851,Elevation,25,ft,,,,,,,,,,,,,
Station no,418,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,,1.24,3.79,2.38,2.57,1.97,2.34,0.84,4.02,5.32,3.94,5.23,
February,,,,,,,,,,1.1,1.8,1.61,0.11,2.4,0.01,3.75,2.83,4.96,0.72,1.5,
March,,,,,,,,,,0.09,1.62,0.78,1.29,2.4,2.57,1.23,2.1,3.23,0.39,1.49,
April,,,,,,,,,,0.64,2.19,2.82,2.48,1.21,2.37,3.41,1.81,2.13,0.04,3,
May,,,,,,,,,,2.43,1.25,2.52,3.62,2.82,0.47,1.38,0.51,2.28,1.71,1.18,
June,,,,,,,,,,1.91,0.69,1.36,1.68,1.53,1.25,2.26,2.25,0.81,0.45,0.84,
July,,,,,,,,,,1.84,1.6,2.86,2.99,1.35,1.32,0.39,3.72,1.54,1.29,2.83,
August,,,,,,,,,,2.64,2.95,3.4,0.71,1.13,2.43,3.22,0.8,1.92,2.87,1.6,
September,,,,,,,,,,1.4,2.34,2.09,2.54,3.6,1.77,4.53,2.15,1.81,4.54,0.87,
October,,,,,,,,,,4.55,2.56,0.46,6.45,1.93,2.11,4.59,1.25,2.13,3.53,4.3,
November,,,,,,,,,,6.17,4.82,3.66,1.51,1.15,3.48,6.46,4.84,1.86,3.89,6.89,
December,,,,,,,,,,5.89,3.05,0.85,1.1,0.78,8.57,4,2.12,4.28,3.04,1.49,
Total,,,,,,,,,,29.9,28.66,24.79,27.05,22.27,28.69,36.06,28.4,32.27,26.41,31.22,
