"DUNKELD (CARDNEY)",,,,,,,,,,,,
Grid ref,NO051452,Long,-3.546840,Lat,56.589080,,,,,,,
Station no,5568,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.84,2.56,0.49,2.77,2.46,3.31,5.40,4.19,1.63,4.13,,
February,3.22,0.96,1.11,3.91,2.03,1.33,4.81,2.32,0.66,5.78,,
March,2.10,3.88,0.63,3.57,1.29,3.06,3.25,2.15,3.42,2.68,,
April,1.55,2.16,2.01,0.93,1.05,0.69,0.85,0.70,3.37,4.65,,
May,2.33,3.54,2.81,5.68,1.80,0.99,2.57,3.21,0.81,3.19,,
June,1.92,2.08,2.15,2.10,2.00,3.35,1.23,3.55,1.71,2.27,,
July,2.76,1.32,4.05,2.51,0.75,4.56,5.02,4.40,5.41,3.72,,
August,4.86,4.02,2.35,4.20,1.18,5.82,4.17,4.10,1.06,4.14,,
September,3.32,1.02,3.49,3.74,1.55,4.97,1.61,4.62,0.79,3.17,,
October,0.96,4.15,2.13,6.63,2.46,2.36,1.35,2.14,3.28,5.80,,
November,10.36,1.96,3.36,8.12,2.63,1.71,1.35,0.95,5.83,4.51,,
December,3.88,2.77,4.37,4.29,7.32,5.46,4.28,5.35,8.55,2.59,,
Total,41.10,30.42,28.95,48.45,26.52,37.61,35.89,37.68,36.52,46.63,,
Calc annual,41.10,30.42,28.95,48.45,26.52,37.61,35.89,37.68,36.52,46.63,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
