TREDEGAR-SIRHOWY-IRON-WORKS,,,,,,,,,,,,,,,,,,,,
Grid ref,SO143101,Long,-3.2437413,Lat,51.782974,Elevation,1088,ft.,,,,,,,,,,,,
Station no,RR3186,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,6.9,8.75,8.13,12.87,5.09,4.13,15.42,10.55,6.2,,,,,
February,,,,,,,4.97,5.85,3.74,8.52,6.26,4.71,8.32,1.34,3.32,,,,,
March,,,,,,,3.51,6.11,5.53,2.77,2.89,3.39,5.8,7.28,2.93,,,,,
April,,,,,,,2.29,6.92,4.9,2.31,0.87,6.31,4.01,0.69,3.82,,,,,
May,,,,,,,0.84,4.47,3.38,5.95,3.52,0.68,2.88,2.75,1.03,,,,,
June,,,,,,,3.1,1.3,0.97,1.25,0.63,2.91,5.86,2.56,2.08,,,,,
July,,,,,,,2.34,3.83,0.44,1.74,3.78,7.99,5.06,5.09,1.87,,,,,
August,,,,,,,3.52,2,7.06,1.7,3.59,3.95,1.97,6.96,6.74,,,,,
September,,,,,,,8.91,3.82,6.11,9.51,3.51,7.14,6.36,2.56,3.48,,,,,
October,,,,,,6.01,2.5,7.8,4.47,3.77,11.13,7.29,7.84,3.89,6.63,,,,,
November,,,,,,5.17,2.22,1.32,4.55,5.48,7.6,1.37,9.69,2.98,3.65,,,,,
December,,,,,,3.88,3.08,2.9,15.41,8.42,2.68,4.54,8.55,2.6,3.27,,,,,
Total,,,,,,,44.18,55.07,64.69,64.29,51.55,54.41,81.76,49.25,45.02,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Sirhowy Iron Works. Altitudes match. NGR could be +/- 200m,,,,,,,,,,,,,,,,,,,,
"Jan to May 1872 readings are duplicated in the Tredegar Ebbw Vale record, also an Iron Works. The observer moved from this site to Ebbw Vale in June 1872 and it is thought most likely that he took these readings to fill gaps in the Ebbw Vale record",,,,,,,,,,,,,,,,,,,,
