SCAWBY HALL,,,,,,,,,,,,,
Grid ref,SE968057,Long,-0.541,Lat,53.539,Elevation,80,ft,,,,,
Station no,2571/8,,,,,,,,,,,,
,,,,,,,,,,,,,
,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.71,0.97,1.09,1.95,1.53,0.88,1.30,1.51,4.82,1.29,1.85,2.52,4.34
February,1.22,0.47,2.92,3.89,0.45,1.49,1.61,2.14,1.51,1.40,3.39,0.30,2.04
March,0.40,1.03,1.02,2.49,2.39,0.76,1.53,2.37,1.19,1.50,1.94,1.45,0.88
April,1.50,1.94,3.03,0.84,1.07,1.87,0.43,0.98,1.26,0.18,0.40,2.33,1.18
May,1.98,0.70,2.35,4.63,1.15,2.18,3.02,3.69,0.71,1.23,2.17,0.45,0.70
June,3.18,0.38,1.69,0.39,2.84,1.69,1.75,3.49,2.88,1.79,4.51,1.25,0.59
July,1.71,2.38,2.78,1.80,1.03,2.59,2.92,0.67,6.02,2.78,4.28,1.77,5.28
August,3.02,1.80,2.57,5.46,1.17,2.48,4.41,0.46,4.58,4.39,3.38,0.50,2.47
September,2.18,0.95,3.84,1.07,2.25,1.62,2.04,0.86,1.55,3.90,1.61,0.03,2.15
October,1.44,2.10,1.14,1.21,2.13,2.45,3.56,1.68,1.14,1.26,1.81,1.69,4.73
November,0.94,3.75,4.07,3.93,2.57,1.37,4.58,1.07,0.99,2.12,0.80,2.21,3.43
December,2.70,2.08,2.04,1.58,1.59,1.09,2.65,2.25,1.48,1.95,3.12,2.97,3.19
Total,23.98,18.55,28.54,29.24,20.17,20.47,29.80,21.17,28.13,23.79,29.26,17.47,30.98
,,,,,,,,,,,,,
TYRain_1941-1950_17_pt1/250,,,,,,,,,,,,,
TYRain_1951-1960_15_pt1/254,,,,,,,,,,,,,
,,,,,,,,,,,,,
# The station continued until 2014 according to MIDAS.,,,,,,,,,,,,,
