CHELTENHAM-SWINDON-HALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO937248,Long,-2.0930142,Lat,51.921685,Elevation,137,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,2179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,2.89,3.73,0.85,3.54,1.16,1.43,2.51,3.61,3.34,2.59,2.69,1.62,3.38,1.76,2.84,2.85,3.82,0.92,4.39,1.29,2.52,2.19,2.29,0.76,2.98,,,,
February,,,1.89,0.98,2.12,3.74,4.27,1.34,1.44,2.48,0.89,0.25,2.99,4.48,0.53,3.81,1.87,2.67,1.86,0.43,0.39,2.21,0.29,3.74,0.47,1.86,2.16,,,,
March,,,3.99,3.55,2.57,1.18,3.85,2.2,1.3,3.72,3.14,1.41,1.96,1.95,0.98,0.44,0.25,2.62,1.99,0.08,1.54,0.35,1.55,2.13,1.74,0.51,1.75,,,,
April,,,0.05,3.13,0.96,1.23,1.06,1.66,2.59,2.37,3.68,1.08,2.91,2.4,2.26,1.9,3.32,1.49,0.75,0.86,2.49,2.8,2.76,0.9,2.42,3.94,1.87,,,,
May,,,2.16,1.99,1.72,3.23,2.41,3.05,1.35,0.96,1.42,1.8,0.75,1.7,6.34,2.78,3.08,1.01,0.83,1.57,1.43,3.44,5.61,2.25,0.88,1.13,0.5,,,,
June,,,5.54,1.01,3.37,1.56,1.6,2.1,0.91,1.23,2.61,0.38,0.94,0.32,2.03,0.04,1.79,2.58,2.46,1.21,2.5,3.91,1.08,1.77,0.78,2.68,3.02,,,,
July,,,4.36,1.31,3.24,3.62,1.24,2.24,2.93,3.36,4.29,0.23,3.52,1.75,4.48,2.46,2.35,2.88,1.95,1.76,3.55,3.43,1.99,1,2.06,0.49,5.8,,,,
August,,,6.91,1.41,1.26,3.42,3.85,4.65,0.75,1.98,0.93,2.93,4.12,1.58,4.24,1.39,1.44,3.25,2.44,1.63,2.17,3.29,1.59,0.32,1.81,1.22,0.2,,,,
September,,,0.6,2.45,1.17,1.41,1.01,1.68,5.36,1.86,2.17,1.76,1.77,2.36,4.64,3.25,0.81,4.68,0.99,0.37,2.66,2.7,2.89,2.13,1.7,4.35,3.93,,,,
October,,,2.51,3.32,1.89,3.01,4,2.99,1.56,2.37,1.8,1.23,0.78,5.38,4.08,2.26,2.72,1.28,4.75,3.76,2,0.77,4.57,3.65,1.27,3.77,1.6,,,,
November,,,1.46,2.55,2.72,1.48,3.1,0.88,1.95,1.23,0.54,1.81,1.25,1.28,2.33,1.64,6.31,2.01,2.11,7.33,3.36,3.91,1.56,0.66,1.78,4.46,2.27,,,,
December,,,3.06,1.13,5.59,4.36,2.61,0.95,2.29,3.18,1.78,1.53,3.64,2.44,2.78,2.41,0.51,3.19,2.22,6.03,2.79,1.04,1.17,0.39,4.65,3.54,3.54,,,,
Total,,,35.42,26.56,27.46,31.78,30.16,25.17,24.94,28.35,26.59,17,27.32,27.26,38.07,24.14,27.29,30.51,26.17,25.95,29.27,29.14,27.58,21.13,21.85,28.71,29.62,,,,
