INVERBROOM (GLACKOUR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH191820,Long,-5.044926,Lat,57.790993,Elevation,65,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,8.23,5.34,7,9.53,5.1,1.4,2.6,4.71,4.95,15.74,7.83,5.65,4.95,7.18,11.64,6.09,5.89,9.77,6.47,5.82,3.63,7.36,8.01,6.59,7.31,4.42
February,,,,,9.97,2.67,6.01,7.85,6.47,1.45,4.37,3.71,10.6,6.9,8.88,7.36,0.71,6.26,8.05,5.26,5.69,5.67,4.52,3.11,4.07,4.98,4.25,7.34,3.06,3.65
March,,,,,4.75,2.15,4.35,11.62,4.27,4.38,2.45,1.41,5.78,6.22,5.08,2.38,1.85,5.4,3.44,3.45,4.03,3.13,3.18,3.21,1.98,2.83,5.41,2.67,2.43,0.79
April,,,,7.13,3.78,2.82,0.85,2.1,3.87,3.84,2.96,2.58,7.64,2.71,4.29,5.2,9.02,6.36,5.81,8.71,7.2,2.16,5.56,2.5,2.38,2.95,2.08,4.03,5.83,4.46
May,,,,4.27,2.32,1.85,1.74,3.12,0.99,2,2.49,1.97,3.37,4.08,4.39,0.75,1.29,2.62,3.53,1.35,1.97,3.79,3.18,5.46,4.75,4.64,1.49,6.11,1.93,1.58
June,,,,1.42,2.8,1.65,2.16,4.78,1.65,1.28,1.4,3.93,2.63,7.11,6.01,4.03,2.68,4.31,1.61,4.12,1.6,4.5,2.28,3.25,1.9,3.04,3.2,2.09,4.74,4.55
July,,,,4.3,3.96,4.2,3.2,4.79,6.31,9.06,2.18,4.01,3.27,1.54,4.13,8.11,3.24,3.34,1.88,2.78,3.06,3.68,5.12,5.76,0.44,7.55,4.53,2.13,7.35,3.12
August,,,,5.83,4.21,3.87,2.07,3.78,1.24,5.21,6.96,6.27,4.35,3.2,3,3.69,0.07,4.45,4.71,4.54,5.21,4.07,4.32,2.31,0.93,7.9,7.49,5.25,3.17,5.09
September,,,,4.54,6.7,4.19,3.3,3.96,1.43,6.64,2.58,6.44,5.58,6.34,6.57,7.2,9.68,7.17,3.01,14.12,2.64,6.3,5.7,6.5,5.77,2.57,6.36,2.41,1.94,2.44
October,,,,11.83,12.15,8.81,3.1,13.65,2.32,4.81,7.33,13.15,8.43,8.68,3.13,1.28,3.18,5.9,3.68,6.69,3.27,8.81,2.22,9.3,7,6.32,8.3,7.76,8.92,2.13
November,,,,1.76,4.17,4.63,1.8,9.07,8.41,11.5,6.9,4.61,9.36,8.11,1.44,6.02,11.18,6.86,6,5.15,8.67,6.74,10.38,5.26,1.99,7.78,4.11,1.93,7.55,3.81
December,,,,3.95,5.57,11.64,1.52,4.62,3.59,8.51,8.88,7.78,7.13,8.79,6.21,5.49,5.85,6.45,11.99,5.61,10.71,8.71,5.11,12.15,9.79,9.46,11.17,5.83,6.27,8.76
Total,,,,,68.61,53.82,37.1,78.87,45.65,60.08,51.1,60.57,73.09,79.42,60.96,57.16,53.7,66.3,65.35,67.87,59.94,67.33,58.04,64.63,44.63,67.38,66.4,54.14,60.5,44.8
