"STOTFOLD (SEWAGE WORKS)",,,,,,,,,,,,
Grid ref,TL209384,Long,-0.239092,Lat,52.030841,,,,,,,
Station no,1169/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.21,1.07,0.80,0.66,1.75,3.18,1.07,2.16,2.76,1.91,,
February,3.32,0.50,1.32,1.63,1.54,0.43,2.68,2.36,0.06,1.47,,
March,2.75,2.71,0.41,1.53,0.80,0.41,0.82,1.04,1.87,1.20,,
April,2.27,1.44,2.27,0.23,0.43,0.95,0.32,0.89,1.52,0.31,,
May,2.09,1.87,1.11,2.32,3.72,0.29,1.03,1.10,0.86,1.00,,
June,0.91,1.13,1.90,2.15,1.71,,1.23,6.21,0.80,2.18,,
July,2.31,0.44,2.60,2.69,0.50,,2.84,2.65,3.47,3.39,,
August,3.70,3.15,2.44,4.11,1.14,,2.15,2.79,0.72,2.90,,
September,2.46,2.27,1.20,1.40,1.18,,2.64,2.81,0.06,3.78,,
October,1.20,1.73,2.04,1.52,1.82,1.65,1.89,1.63,1.31,4.19,,
November,3.45,2.74,1.36,3.07,0.81,0.80,1.48,1.51,1.62,3.24,,
December,1.21,1.57,0.36,1.29,1.67,2.36,2.06,2.42,2.45,2.84,,
Total,27.88,20.62,17.81,22.60,17.07,,20.21,27.57,-999.00,28.41,,
Calc annual,27.88,20.62,17.81,22.60,17.07,10.07,20.21,27.57,17.50,28.41,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,0.00,0.00,-1016.50,0.00,,
