"HOLMESFIELD BARBROOK RESERVOIR (ON BIG MOOR)",,,,,,,,,,,,
Grid ref,SK277772,Long,-1.585919,Lat,53.291045,,,,,,,
Station no,2685,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.68,1.62,1.50,2.18,,
February,,,,,,,3.13,1.85,1.63,1.50,,
March,,,,,,,1.95,2.50,2.84,5.03,,
April,,,,,,,1.59,2.63,2.30,1.75,,
May,,,,,,,2.50,3.96,4.02,2.13,,
June,,,,,,,2.13,4.26,1.74,2.78,,
July,,,,,,,1.80,2.67,2.87,3.62,,
August,,,,,,,2.59,3.13,2.74,2.51,,
September,,,,,,,1.03,0.45,2.83,2.92,,
October,,,,,,,6.42,7.08,1.52,4.64,,
November,,,,,,,3.84,3.16,1.95,1.29,,
December,,,,,,,3.00,2.44,1.93,7.93,,
Total,,,,,,,33.66,35.75,27.87,38.28,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,33.66,35.75,27.87,38.28,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,0.00,,
