TOPCLIFFE AIRFIELD,,,,,,,,,,,,,,
Grid ref,SE405790,Long,-1.381,Lat,54.205,Elevation,79,ft,,,,,,
Station no,3425/5,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,5.29,0.49,1.41,1.87,1.69,0.50,1.72,1.32,4.11,1.40,1.91,2.25,2.98
February,,0.94,0.95,3.18,2.32,0.36,1.54,2.20,1.53,1.80,2.07,3.65,0.25,1.83
March,,1.13,1.17,0.94,2.65,1.65,0.05,1.70,1.52,1.09,1.25,1.46,0.96,1.31
April,,1.84,2.36,1.57,1.26,0.95,1.77,0.17,1.14,1.53,0.22,0.71,2.81,0.72
May,2.56,0.99,1.23,0.99,3.67,1.48,1.39,3.66,1.68,0.40,1.02,3.07,0.55,0.87
June,3.02,4.65,0.81,1.12,1.20,2.08,2.76,2.56,2.20,3.30,1.96,3.17,2.85,0.45
July,1.32,0.80,2.34,2.71,3.04,1.51,2.63,2.55,0.90,4.24,4.18,2.44,1.15,4.89
August,0.28,3.45,2.56,3.80,5.87,1.94,3.28,4.79,0.87,7.52,5.15,1.18,1.00,2.66
September,1.34,2.03,0.64,2.73,2.06,3.31,1.74,1.52,0.96,3.01,2.89,2.49,0.18,2.39
October,0.46,0.76,2.11,0.92,0.96,3.02,2.01,3.70,1.58,1.08,1.86,1.15,1.36,5.02
November,1.74,0.83,3.34,3.54,5.55,1.27,2.09,4.05,2.31,0.80,1.03,0.60,3.49,3.78
December,1.21,2.39,1.98,2.19,1.96,1.55,0.98,1.74,2.65,2.42,2.00,2.71,3.21,2.66
Total,,25.10,19.98,25.10,32.41,20.81,20.74,30.36,18.66,31.30,25.03,24.54,20.06,29.56
,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/163,,,,,,,,,,,,,,
TYRain_1951-1960_20_pt1/256,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
# The station is still active according to MIDAS. (MIDAS src_id = 16596),,,,,,,,,,,,,,
