CROWBOROUGH UCKFIELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ513305,Long,0.157375,Lat,51.05392,Elevation,796,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,2.89,7.46,4.16,2.64,5,1.6,9.18,1.98,3.74,0.47,2.01,2.04,3.16,3.82,3.39,4.87,3.23,1.14,1.34,3.87,3.38,1.31,2.67,5.5,2.73,1.64,3.09,0.69,3.91,4.67,1.16,1.58,3.5,5.96,1.68,6.74,1.58,2.5,1.4,4.26,2.07,3.23,5.34,1.37,4.54,2.69,1.81,4.31,6.4,4.58,4.44,4.8,1.98,3.32,4.43,4.92,3.37,6.4,1.58,4.87,2.84,4.14,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,2.34,2.8,2.3,2.45,1.44,4.56,2.82,2.42,4.72,4.22,4.2,2.22,4.94,2.19,4.97,0.67,0.76,1.87,3.23,1.12,0,1.77,4.51,2.48,0.53,0.36,3.04,1.76,3.37,6.73,2.25,1.92,2.02,3.96,1.18,3.26,2.23,1.84,0.79,5.73,2.61,3.96,1.26,6.04,5.94,5.9,1.42,1.58,2.62,1.01,0.86,3.95,5.54,1.28,4.98,3.3,5.52,2,0.89,1.5,2.88,0.69,3.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,1.65,2.91,2.52,1.21,1.14,3.51,3.01,1.89,1.3,1.41,3.3,1.85,1.28,2.48,2.06,3.11,1.86,4.58,2.44,2.88,4.06,1.65,0.53,1.74,2.14,3.24,5.06,1.46,1.25,1.07,2.19,1.96,3.66,1.36,5.09,2.41,1.37,3.41,5.5,2.36,3.33,6.31,3.99,7.25,0.9,4.99,2.13,1.25,5.28,2.33,2.71,3.1,3.18,2.3,1.23,0.61,5.17,2.37,0.09,1.57,0.78,1.91,3.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,4.77,1.05,0.83,2.73,1.24,3.22,2.92,4.05,4.93,2.12,0.53,4,1.84,1.27,1.53,2.28,1.82,1.84,3.27,3,0.59,1.42,0.05,2.28,2.27,0.92,2.2,1.05,3.28,1.55,3.27,1.28,2.81,1.43,2.87,1.19,3.99,2.83,1.99,2.54,2.27,0.2,4.26,2.37,2.07,1.79,2.77,3.69,2.65,3.43,1.59,4.26,3.56,4.43,3.91,5.89,2.23,2.91,1.12,2.52,4.14,2.99,1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,0.72,4.92,1.69,0.82,1.83,1.25,2.44,5.29,3.7,0.28,1.57,1.08,2.56,0.84,2.89,4.18,2.05,1.66,1.72,1.62,3.88,1.47,0.47,1.48,0.06,0.39,1.66,4.07,2.25,0.99,1.12,3.09,2.4,3.45,1.23,2.72,2.89,1.95,1.84,3.21,1.51,1.8,2.37,1.65,4.8,2.86,1.95,1.66,0.53,1.42,2.25,1.5,4.55,5.15,3.45,2.11,1.16,1.54,2.85,3.48,3.19,3.15,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,4.76,4.26,3.47,2.48,3.72,1.61,1.07,2.51,3.87,2.52,2.64,2.86,2.25,1.67,0.94,0.95,1.09,4.31,0.57,3.26,2.18,2.99,1.2,2.18,0.24,3.45,1.78,1.8,1.52,3.39,1.19,4.13,4.17,1.27,4.39,2.73,3.04,1.76,3.27,1.95,3.73,3.43,0.88,0.86,0.72,3.43,2.4,1.22,1.03,1.58,0.21,1.74,0.63,2.88,0.24,3.97,5.72,3.97,1.72,1.29,2.22,1.59,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,3.4,2.89,2.84,1.6,6.01,0.85,3.37,1.01,4.71,3.82,1.88,4.78,2.86,2.4,0.47,3.46,0.64,6.76,4.3,4.19,3.62,2.3,3.71,5.53,3.56,1.11,1.45,0.59,2.03,0.96,2.28,1.68,5.06,1.09,0.5,0.9,2.24,4.55,3.98,3.55,0.56,1.99,4.12,1.98,4.87,1.64,3.92,5.77,2.17,5.47,0.67,4.01,3.26,5.3,5.02,2.07,3.56,2.23,1.81,3.49,3.59,3.68,2.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,1.64,1.89,3.76,3.08,2.16,4.63,4.23,5.37,6.56,0.89,5.75,1.88,1.38,1.22,0.61,2.08,3.26,3.11,4,4.02,5.79,4.63,0.87,2.31,3.08,2.11,3.14,1.57,1.45,2.57,1.78,5.38,4.76,1.69,3.3,1.71,2.75,5.49,3.36,3.87,1.04,8.34,1.95,1.43,2.01,2.34,6.74,1.94,4.42,1.84,3.52,3.76,3.2,4.28,2.48,2.02,5.6,2.82,3.64,4.22,4.16,0.56,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,4.03,2.1,3.53,3.67,2.07,5.59,1.41,1.81,3.95,3.95,3.52,3.88,4.49,4.9,5.07,1.22,4.24,1.2,1.38,0.85,1.52,2.82,3.68,4.04,0.64,8.01,3.27,0.63,2.85,1.67,1.8,0.49,2.62,2.3,2.67,1.9,0.95,1.93,3.77,0.54,2.39,3.81,2.29,1.66,2.89,1.97,2.41,6.37,1.74,3.1,1.13,2.68,2.88,4.06,3.36,1.18,5.77,0.94,0.8,3.96,3.11,3.51,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,2.98,6.01,5.9,5.12,5.54,1.34,3.95,3.96,1.08,7.95,3.52,8.3,3.16,1.48,4.45,4.07,1.61,2.49,8.09,1.71,9.28,6.19,4.73,5.3,4.02,5.64,0.36,4.03,2.88,2.85,3.07,3.12,9.28,2.8,2.28,5.86,6.36,2.17,8.97,4.07,7.46,4.73,5.98,3.12,3.19,6.25,5.9,3.09,0.66,1.73,2.19,1.75,7.95,5.6,4.61,3.29,3.29,8.77,4.94,2.41,0.79,8.83,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
