EDINBURGH (CRAIGLOCKHART),,,,,,,,,,,,,,,,,,,,
Grid ref,NT224705,Long,-3.243284,Lat,55.921298,Elevation,295,ft,,,,,,,,,,,,
Station no,5137/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,2.11,2.4,2.26,3.11,5.83,2.43,1.36,3.24,2.82,0.36,3,1.95,1.56,3.57,1.5,0.93,2.68
February,,,,1.02,4.4,1.69,1.57,2.4,2.2,3.02,2.73,0.46,0.69,1.84,1.63,2.02,3.25,1.8,0.41,2.21
March,,,,0.46,0.95,1.82,4.06,1.26,0.66,2.35,3.34,1.16,0.37,1.72,2.21,1.24,1.51,2.3,0.51,0.99
April,,,,2.14,1.47,0.45,3.89,1.93,1.45,2.6,3.03,1.48,2.56,1.36,0.34,0.76,0.67,1.5,1.98,0.79
May,,,,2.74,4.06,2.28,3.37,2.5,2.59,2.14,3.68,1.83,1.85,4.76,2.22,0.74,1.98,2.4,0.61,1.47
June,,,,2.48,1.73,2.39,2.55,4.24,1.28,1.75,1.94,2.41,1.51,2.09,0.99,2.26,1.19,3.5,1.57,1.08
July,,,,3.2,2.81,3.49,2.76,2.9,2.57,4.19,3.85,2.04,4.18,1.76,1.63,5.7,4.88,6.7,2.53,2.49
August,,,,3.22,2.91,3.8,0.22,9.91,3.01,2.83,5.66,4.2,1.95,5.05,1.1,5.93,3.28,3.3,0.25,4.43
September,,,,4.69,3.86,3.42,1.35,3.06,1.72,5.24,0.92,1.86,3.29,3.11,1.28,4.14,1.59,2.5,0.53,1.37
October,,,,2.83,3.63,1.1,1.34,1.5,5.07,2.32,0.57,1.98,1.43,7.07,1.58,1.74,1.93,1.06,2,3.53
November,,,,5.53,0.56,3.74,3,2.81,3.31,3.68,4.95,2.27,3.4,3.1,0.99,0.76,2.43,1.13,5.19,2.73
December,,,,2.29,2.61,2.27,2.45,2.91,5.26,2.09,2.88,2.7,3.5,3.22,4.7,2.78,2.6,4.3,3.09,2.74
Total,,,,32.71,31.39,28.71,29.67,41.25,31.55,33.57,36.79,25.21,25.09,38.08,20.62,29.63,28.88,31.99,19.6,26.51
,,,,,,,,,,,,,,,,,,,,
15722,CRAIGLOCKHART AVENUE ,1944-1964,,,,,,,,,,,,,,,,,,
