LEOMINSTER - Leysters,,,,,,,,,,,,,,,,,,,,
Grid ref,SO567628,Long,-2.635841,Lat,52.26165,Elevation,617,ft,,,,,,,,,,,,
Station no,RR4676,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,0.37,3.3,3.37,1.4,2.35,3.48,3.81,2.38,3.13,0.88,1.48,7.07,3.81,2.78,,1.79,4.19,,
February,,3.08,0.52,0.62,1.41,1.65,1.96,2.04,1.49,2.5,1.7,1.73,4.24,1.01,4.08,,3.83,2.45,,
March,,2.73,4.05,0.97,1.56,0.85,2.12,3.45,1.52,1.4,1.42,1.75,3.13,3.4,1.06,,2.99,2.5,,
April,,0.55,2.49,1.67,1.04,1,1.59,3.09,1.37,1.35,1.05,2.41,3.07,0.98,1.82,,3.14,3.09,,
May,,1.05,4.45,1.05,1.86,3.14,2.77,2.59,2.42,4.5,1.2,1.88,2.41,2.48,1.42,,0.52,3.23,,
June,,3.16,2.2,4.25,1.31,1.96,3.37,0.81,0.25,0.81,0.32,2.64,4.8,2.66,1.16,,1.48,0.97,,
July,,5.45,2.4,0.69,0.76,2.46,-999,3.01,0.9,0.65,1.28,3.79,6.18,3.03,1.07,,1.27,4.21,,
August,,1.12,1.73,1.93,0.89,3.67,-999,1.59,3.98,1.37,1.29,0.7,1.49,3.32,3.61,,2.03,4.44,,
September,,2.47,-999,4.29,2.66,0,5.96,1.55,2.37,4.71,1.14,6.7,2.94,1.61,4.54,,4.98,1.46,,
October,,1.82,-999,3.78,2.15,3.63,2.27,3.21,2.12,2.61,4.8,3.49,5.63,2.18,2.47,,3.11,3.01,,
November,,2.76,0.93,1.46,2.88,3.26,1.45,1.1,0.95,2.31,2.25,0.41,6.55,1.64,2.93,,2.54,3.11,,
December,,1.97,1.75,1.37,1.64,1.5,1.6,1.37,5.96,3.34,1.98,2.02,6.52,0.7,3.62,,6.88,4.37,,
Total,,26.53,29.09,25.45,19.56,25.47,29.11,27.62,25.71,28.68,19.31,29,54.03,26.82,30.56,,34.56,37.03,,
,,,,,,,,,,,,,,,,,,,,
"1862 Sept/Oct bracketed, 5.27""",,,,,,,,,,,,,,,,,,,,
"1866 July/Aug bracketed, 2.54""",,,,,,,,,,,,,,,,,,,,
