BISHOPS-STORTFORD-LITTLE-CANES,,,,,,,,,,,,,,,,,,,,
Grid ref,TL481215,Long,0.14984283,Lat,51.872415,Elevation,250,ft,,,,,,,,,,,,
Station no,963/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,3.54,3.71,2.85,4.98,2.01,1.9,2.39,4.54,1.71,2.15,1.8,1.81,,,
February,,,,,,2,3.53,0.85,0.86,1.55,2.13,1.25,1.15,1.03,1.6,2.47,1.64,,,
March,,,,,,0.94,2.75,0.37,1.82,2.9,3.05,1.4,0.49,0.26,0.88,1.54,4.9,,,
April,,,,,,1.4,3.2,0.21,3.16,1.8,1.51,1.21,1.02,1.81,1.31,1.22,1.77,,,
May,,,,,,1.24,2.72,2.83,1.11,1.14,1.53,2.28,1.79,1.07,2.41,2.08,0.56,,,
June,,,,,,5.11,2.25,0.4,1.76,0.37,0.77,0.59,1.58,1.93,1.91,1.95,2.48,,,
July,,,,,,4.78,2.59,1.61,3.04,3.39,4.22,2.19,1.69,1.71,2.11,3.62,2.16,,,
August,,,,,,0.59,0.63,1.19,2.52,0.06,5.18,2.08,1.51,2.4,1.03,3.56,0.09,,,
September,,,,,,3.82,1.65,3.13,2.46,1.01,0.42,1.56,1.87,2.96,2.1,3.62,1.5,,,
October,,,,,,1.59,1.78,2.73,5.28,2.83,1.66,4.59,1.94,3.31,2.23,1.18,0.11,,,
November,,,,,,3.43,1.67,2.7,4.25,6.81,2.23,2.06,1.79,3.11,0.34,4,,,,
December,,,,,,1.88,3.63,3.02,1.19,1.59,1.69,2.82,1.55,1.34,3.45,2.14,,,,
Total,,,,,,30.32,30.11,21.89,32.43,25.46,26.29,24.42,20.92,22.64,21.52,29.18,,,,
