BRAMLEY-STATION-ROAD,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ011452,Long,-0.55375,Lat,51.19736,Elevation,131,ft,,,,,,,,,,,,
Station no,191/3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,2.96,5.55,2.84,2.73,2.78,6.02,2.03,1.99,2.47,2.19,4.7,0.97,
February,,,,,,,,0.56,1.56,2.46,2.92,0.71,1.8,0.63,2.02,2.67,1.35,1.39,1.35,
March,,,,,,,,0.27,1.29,3.42,3.27,1.74,0.47,0.13,1.19,1.15,5.43,0.81,1.02,
April,,,,,,,,0.12,2.65,1.71,1.34,1.83,1.08,1.05,1.12,2.69,2.2,1.83,1.69,
May,,,,,,,,1.3,2.66,1.12,2.19,3.39,2.68,0.54,1.75,3.15,1.57,2.93,2.23,
June,,,,,,,,0.52,1.21,1.05,1.85,0.2,1.55,1.52,2.6,2.38,2.55,2.71,0.37,
July,,,,,,,,2.25,3.18,2.86,2.25,2.15,2.03,1.34,5.85,1.57,1.28,0.93,0.74,
August,,,,,,,,1.4,2.44,0.17,4.23,3.2,1.3,1.74,1.53,4.81,0.55,3.84,1.1,
September,,,,,,,,1.61,0.53,1.43,0.27,1.68,1.49,2.61,2.5,3.66,1.14,1.93,0.72,
October,,,,,,,,2.82,5.15,3.6,1.09,3.68,3.03,4.4,3.6,1,0.52,2.24,7.51,
November,,,,,,,,4.97,4.64,7.59,3.38,1.76,1.43,4.29,0.27,5.19,1.11,1.49,3.3,
December,,,,,,,,4.49,1.4,1.54,2.03,3.61,1.86,2.83,4.44,3.49,3.24,4.31,1.64,
Total,,,,,,,,23.27,32.26,29.79,27.55,26.73,24.74,23.11,28.86,34.23,23.13,29.11,22.64,
,,,,,,,,,,,,,,,,,,,,
Mead Villa Station Road,,,,,,,,,,,,,,,,,,,,
