GLENHEAD OF TROOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NX432800,Long,-4.458406,Lat,55.089581,Elevation,320,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,2.92,3.87,2.73,2.72,8.62,11.66,6.33,7.6,11,9,3.5,7.75,6.5,7.85,6.1,5.55,6,8,11,5.5,10,9,,,
February,,,,,,4.36,4.48,7.5,7.92,5.28,5.7,3.47,4.9,8.25,6.4,6.7,5.2,3.5,7.4,5,10,7.6,5,5,9.5,13,8,,,
March,,,,,,7.11,9.17,12.23,2.25,6.46,1.76,5,5.2,11,5.75,8.1,3.68,5.5,7.5,6,6.5,2.3,9,5,11.6,3.6,2,,,
April,,,,,,5.53,2.6,5.46,6.13,6.03,2.5,4.84,3.5,2.2,4,4,3.15,5,3,5,5,5.6,2.85,6,4.3,4.6,7.15,,,
May,,,,,,0.47,0.76,2.73,5.02,5.37,8.5,3,3.28,3.25,4.33,1.9,8.7,6.7,3.5,3.3,3.5,5.3,1.8,7,4,1.63,5.8,,,
June,,,,,,1.75,5.62,7.93,4.59,2.62,5.72,5.42,1.9,4.08,3.55,3,2.47,6.65,2.7,4.3,3.7,4.53,8.5,3.7,1.5,1.4,4,,,
July,,,,,,6.53,8.93,3.08,2.62,4.5,7.57,1.81,5.16,7.25,5.9,2.5,4,3.5,5.5,7.5,5.7,3.7,3.4,0.75,5,5,6,,,
August,,,,,,5.05,5.4,11.96,7.42,1.2,7.2,9.28,4.5,8.5,8,8,6.45,6.7,4.6,5,11,3.9,7.55,2.5,7.5,2.15,3.5,,,
September,,,,,,2.1,7.58,5.38,5.39,7.91,5.23,8,5.12,7,9,2.2,2.95,3.7,8.4,3.5,2.25,3.3,4.1,5.6,3.5,1.35,3.5,,,
October,,,,,,6.29,5.06,3.57,4.9,4.75,8.4,9.68,4,13.15,3.8,5.45,10,13,3.1,13.1,4.3,6.6,7.3,6.3,3,5.3,10,,,
November,,,,,,6.69,3.82,6.51,7.18,10.07,7.1,8,8,7,8,8.9,6.5,7,6.5,3,6.2,9,6,9.2,7,4.6,5.9,,,
December,,,,,,5.62,10.35,13.27,8.06,8.37,10,8.2,7.6,8.74,6.28,5.5,8,7.35,9,8,10.7,16,8,6,11.6,9,10.6,,,
Total,,,,,,54.42,67.64,82.35,64.2,71.18,81.34,73.03,60.76,91.42,74.01,59.75,68.85,75.1,69.05,69.8,74.4,73.83,71.5,68.05,74,61.63,75.45,,,
